Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
ULHC,2026-03-19,581.0,582.0,565.1,565.1,-2.74,83634.0,599.0,411.7
UMHL,2026-03-19,620.0,639.5,620.0,630.0,1.61,189026.0,706.0,430.5
UMRH,2026-03-19,594.0,594.0,580.0,584.6,-1.58,60802.0,675.0,526.0
UNHPL,2026-03-19,510.0,519.5,499.0,518.0,1.57,345245.0,554.7,290.0
UNL,2026-03-19,47199.0,47290.0,47199.0,47290.0,0.19,21.0,50724.0,45000.0
UNLB,2026-03-19,1858.0,1900.0,1857.0,1890.0,1.72,1168.0,2480.0,1810.0
UPCL,2026-03-19,421.9,424.9,413.0,417.0,-1.16,459472.0,489.0,277.5
UPPER,2026-03-19,222.0,239.5,222.0,235.6,6.13,2548271.0,239.5,166.0
USHEC,2026-03-19,524.0,538.5,520.0,525.0,0.19,105342.0,630.0,410.0
USHL,2026-03-19,711.1,738.6,710.0,732.0,2.94,10201.0,945.0,588.0
USLB,2026-03-19,1468.0,1492.9,1467.0,1483.9,1.08,4410.0,2750.0,1393.0
VLBS,2026-03-19,771.0,782.4,740.5,773.1,0.27,17814.0,1008.0,737.0
VLUCL,2026-03-19,580.0,600.0,576.1,590.0,1.72,10098.0,710.0,516.0
WNLB,2026-03-19,1585.0,1591.0,1565.0,1566.9,-1.14,1493.0,3562.0,1242.1
