Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
KBSH,2026-03-10,1751.9,1753.0,1683.0,1725.0,-1.54,877.0,2625.0,1618.0
KDBY,2026-03-10,10.15,10.35,9.95,10.15,0.0,55623.0,10.57,8.67
KDL,2026-03-10,937.3,969.0,925.0,945.0,0.82,28323.0,1212.0,770.0
KEF,2026-03-10,9.18,9.54,9.18,9.53,3.81,14600.0,10.42,8.31
KKHC,2026-03-10,321.0,340.5,302.0,309.8,-3.49,659887.0,475.9,208.0
KMCDB,2026-03-10,961.7,998.5,945.1,977.0,1.59,12942.0,1223.0,893.0
KPCL,2026-03-10,575.1,615.0,534.4,614.0,6.76,126432.0,711.0,491.0
KSBBL,2026-03-10,505.9,505.9,481.0,491.9,-2.77,118686.0,588.0,404.1
KSBBLD87,2026-03-10,1127.0,1127.0,1127.0,1127.0,0.0,25.0,1178.1,1041.3
KSY,2026-03-10,9.5,9.5,9.31,9.46,-0.42,2500.0,10.51,8.21
LBBL,2026-03-10,524.0,525.0,498.9,514.5,-1.81,275342.0,646.3,376.5
LBBLD89,2026-03-10,1250.0,1250.0,1250.0,1250.0,0.0,25.0,1346.0,1150.1
LEC,2026-03-10,247.0,247.0,229.0,237.0,-4.05,669648.0,263.0,180.0
LICN,2026-03-10,870.7,910.0,855.0,900.0,3.37,155079.0,1132.0,773.0
LLBS,2026-03-10,1072.0,1072.0,970.2,1010.0,-5.78,2500.0,1300.5,865.0
LSL,2026-03-10,230.5,230.5,212.0,222.9,-3.3,318545.0,252.0,201.0
LUK,2026-03-10,9.53,9.8,9.53,9.8,2.83,4800.0,11.97,8.97
LVF2,2026-03-10,9.9,9.98,9.8,9.82,-0.81,42820.0,11.45,8.76
MABEL,2026-03-10,820.0,821.0,764.0,798.6,-2.61,38159.0,927.0,317.7
MAKAR,2026-03-10,586.0,586.0,546.0,555.0,-5.29,14249.0,804.1,515.0
MANDU,2026-03-10,865.5,882.0,833.0,850.0,-1.79,8008.0,970.0,766.5
MATRI,2026-03-10,1006.9,1006.9,966.0,985.0,-2.17,3419.0,1347.0,904.0
MBJC,2026-03-10,321.9,321.9,301.1,307.3,-4.54,198476.0,371.0,270.0
MBL,2026-03-10,257.0,258.0,242.0,246.1,-4.24,271247.0,272.1,205.0
MBLEF,2026-03-10,10.1,10.43,10.1,10.43,3.27,8900.0,10.43,8.59
MCHL,2026-03-10,454.9,454.9,420.0,438.0,-3.72,16206.0,641.0,392.0
MDB,2026-03-10,700.0,700.0,655.1,658.9,-5.87,118665.0,729.7,530.5
MEHL,2026-03-10,480.0,488.5,451.0,468.0,-2.5,46877.0,614.0,372.4
MEL,2026-03-10,320.0,320.0,296.0,302.0,-5.62,82418.0,350.0,255.0
MEN,2026-03-10,655.0,655.0,621.0,633.0,-3.36,225802.0,683.4,535.0
MERO,2026-03-10,779.8,779.8,744.4,762.0,-2.28,27012.0,1000.0,668.0
MFIL,2026-03-10,917.8,917.8,836.0,849.0,-7.5,254865.0,918.0,545.0
MHCL,2026-03-10,389.0,398.0,368.5,392.0,0.77,79017.0,583.0,325.0
MHL,2026-03-10,556.0,556.0,531.0,537.0,-3.42,74293.0,800.0,445.0
MHNL,2026-03-10,283.0,294.0,271.3,278.9,-1.45,113457.0,307.0,226.0
MKCL,2026-03-10,1451.1,1509.0,1408.2,1428.0,-1.59,9440.0,1900.0,1333.0
MKHC,2026-03-10,353.2,360.0,334.2,341.2,-3.4,104622.0,603.0,310.7
MKHL,2026-03-10,848.0,848.0,802.0,830.0,-2.12,4570.0,1027.0,652.0
MKJC,2026-03-10,582.0,582.0,543.0,547.0,-6.01,119941.0,635.0,475.5
MLBBL,2026-03-10,1438.0,1438.2,1379.0,1389.0,-3.41,6850.0,2019.0,1285.0
MLBL,2026-03-10,400.0,400.0,385.1,397.8,-0.55,157782.0,488.0,348.9
MLBLD89,2026-03-10,1212.1,1212.1,1212.1,1212.1,0.0,25.0,1350.0,1159.0
MLBS,2026-03-10,1497.3,1540.0,1460.0,1494.0,-0.22,1884.0,1963.0,1395.0
MLBSL,2026-03-10,1984.2,2031.0,1945.3,2016.0,1.6,11501.0,2435.5,1808.4
MMF1,2026-03-10,9.61,9.79,9.31,9.55,-0.62,60999.0,9.95,8.05
MMKJL,2026-03-10,613.0,615.0,585.0,587.0,-4.24,16150.0,735.0,528.2
MNBBL,2026-03-10,393.6,407.0,385.0,393.0,-0.15,274867.0,503.0,340.1
MNMF1,2026-03-10,9.62,9.84,9.51,9.8,1.87,54400.0,10.11,8.53
MPFL,2026-03-10,713.0,713.0,652.7,668.0,-6.31,70931.0,713.0,491.0
MSHL,2026-03-10,821.9,825.0,804.6,821.0,-0.11,6568.0,989.4,782.0
MSLB,2026-03-10,1369.0,1369.0,1304.1,1330.0,-2.85,5082.0,1710.0,1130.2
NABBC,2026-03-10,1522.0,1522.0,1414.0,1467.0,-3.61,12967.0,2060.0,662.0
NABIL,2026-03-10,545.0,555.0,528.0,534.8,-1.87,271844.0,562.0,471.0
NABILD2089,2026-03-10,1058.4,1058.4,1053.1,1053.1,-0.5,25.0,1125.0,1000.0
NADEP,2026-03-10,806.5,830.0,789.0,804.8,-0.21,10727.0,1046.0,696.0
NBF2,2026-03-10,10.08,10.08,9.81,10.0,-0.79,49996.0,11.1,8.89
NBF3,2026-03-10,9.66,9.75,9.31,9.75,0.93,46520.0,10.67,8.35
NBL,2026-03-10,281.0,281.0,266.2,271.0,-3.56,377088.0,313.0,225.4
NBLD82,2026-03-10,1056.0,1056.0,1056.0,1056.0,0.0,100.0,1150.0,1042.5
NESDO,2026-03-10,1639.5,1671.0,1575.0,1600.0,-2.41,3505.0,2387.3,1380.1
NFS,2026-03-10,708.0,708.0,666.6,671.0,-5.23,53356.0,851.0,576.0
NGPL,2026-03-10,459.0,476.2,441.0,471.0,2.61,2409989.0,477.0,254.8
NHDL,2026-03-10,683.3,696.9,675.0,690.0,0.98,44376.0,940.0,623.0
NHPC,2026-03-10,244.2,244.2,230.5,239.9,-1.76,794521.0,249.2,178.6
NIBLGF,2026-03-10,10.09,10.3,9.34,10.3,2.08,13350.0,11.03,7.84
NIBLSTF,2026-03-10,9.56,9.56,9.12,9.36,-2.09,6600.0,10.08,7.85
NIBSF2,2026-03-10,9.11,9.2,9.1,9.12,0.11,25000.0,10.52,8.06
NICA,2026-03-10,360.0,360.0,339.0,349.7,-2.86,338163.0,428.4,304.5
NICAD2091,2026-03-10,1070.0,1072.0,1070.0,1070.0,0.0,100.0,1102.6,1005.2
NICBF,2026-03-10,9.42,9.42,9.06,9.06,-3.82,350.0,10.93,8.48
NICD88,2026-03-10,1070.0,1090.0,1070.0,1090.0,1.87,75.0,1153.0,1015.0
NICFC,2026-03-10,9.8,9.8,9.35,9.35,-4.59,3600.0,10.4,8.37
NICGF2,2026-03-10,9.27,9.3,9.2,9.3,0.32,3750.0,9.98,8.33
NICL,2026-03-10,543.0,543.0,515.1,522.5,-3.78,44871.0,1018.9,483.0
NICLBSL,2026-03-10,600.0,603.0,577.8,593.0,-1.17,43121.0,764.0,535.0
NICSF,2026-03-10,9.3,9.49,9.3,9.49,2.04,14150.0,9.99,8.04
NIFRA,2026-03-10,299.0,299.0,276.0,285.2,-4.62,1019341.0,328.1,249.9
NIL,2026-03-10,647.5,673.6,645.0,653.5,0.93,35779.0,800.0,562.0
NIMB,2026-03-10,218.5,218.5,205.0,209.0,-4.35,675786.0,247.0,184.2
NIMBPO,2026-03-10,164.1,169.5,161.0,163.0,-0.67,23396.0,184.5,150.0
NLG,2026-03-10,719.9,720.0,696.0,708.6,-1.57,57449.0,976.2,655.0
NLIC,2026-03-10,829.0,829.0,797.0,824.0,-0.6,158831.0,890.0,702.0
NLICL,2026-03-10,601.0,617.0,600.0,614.9,2.31,66102.0,691.0,539.0
NMB,2026-03-10,251.6,265.2,249.9,253.1,0.6,296164.0,283.0,231.0
NMB50,2026-03-10,10.65,10.81,10.35,10.75,0.94,57500.0,11.93,9.75
NMBD89/90,2026-03-10,1222.0,1222.0,1222.0,1222.0,0.0,25.0,1336.0,1145.1
NMBHF2,2026-03-10,9.4,9.82,9.37,9.82,4.47,5250.0,10.0,8.16
NMBMF,2026-03-10,715.0,715.0,688.0,688.0,-3.78,13961.0,835.0,596.0
NMFBS,2026-03-10,1191.2,1214.9,1180.0,1187.0,-0.35,14402.0,1504.0,1086.0
NMIC,2026-03-10,1407.6,1464.0,1362.0,1387.0,-1.46,26321.0,2703.3,302.3
