Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
SBCF,2026-02-12,9.4,9.5,9.4,9.4,0.0,1300.0,12.03,8.7
SBI,2026-02-12,398.0,401.5,397.0,401.5,0.88,8730.0,452.0,363.0
SBIBD86,2026-02-12,1127.0,1127.0,1127.0,1127.0,0.0,50.0,1222.0,1050.0
SBID83,2026-02-12,1070.0,1070.0,1065.0,1065.0,-0.47,125.0,1226.0,1025.0
SBID89,2026-02-12,1148.0,1150.0,1148.0,1150.0,0.17,75.0,1266.0,1039.0
SBL,2026-02-12,372.0,375.0,368.5,371.5,-0.13,73398.0,416.0,261.0
SBLD2091,2026-02-12,1073.1,1073.1,1073.1,1073.1,0.0,100.0,1150.0,109.0
SCB,2026-02-12,639.0,641.0,636.2,637.6,-0.22,18299.0,701.0,594.9
SDBD87,2026-02-12,1132.0,1133.2,1132.0,1133.2,0.11,50.0,1196.2,1032.0
SEF,2026-02-12,9.89,9.89,9.79,9.79,-1.01,20800.0,11.5,8.6
SFCL,2026-02-12,381.1,385.0,379.0,380.1,-0.26,13319.0,660.0,359.4
SFEF,2026-02-12,9.8,9.8,9.8,9.8,0.0,1300.0,11.12,8.82
SFMF,2026-02-12,10.02,10.23,10.02,10.23,2.1,6000.0,11.74,9.4
SGHC,2026-02-12,407.5,420.0,407.0,410.0,0.61,42400.0,630.1,296.0
SGIC,2026-02-12,473.0,476.8,470.1,473.9,0.19,15794.0,736.4,439.0
SHEL,2026-02-12,334.5,339.5,315.0,317.0,-5.23,777158.0,347.8,241.1
SHINE,2026-02-12,398.0,409.7,398.0,408.0,2.51,69045.0,499.0,382.0
SHINED,2026-02-12,1121.0,1143.4,1121.0,1143.4,2.0,440.0,1200.0,1000.0
SHIVM,2026-02-12,610.1,615.9,610.0,612.0,0.31,133822.0,709.0,495.0
SHL,2026-02-12,495.1,503.0,488.1,491.5,-0.73,41181.0,619.0,464.0
SHLB,2026-02-12,1635.0,1635.0,1585.0,1586.2,-2.98,1109.0,2907.0,1540.2
SHPC,2026-02-12,550.0,552.9,542.2,552.9,0.53,190746.0,684.9,443.1
SICL,2026-02-12,622.0,627.5,622.0,624.9,0.47,8403.0,891.0,588.8
SIFC,2026-02-12,564.0,600.0,564.0,591.0,4.79,36033.0,687.4,459.0
SIGS2,2026-02-12,9.7,9.7,9.7,9.7,0.0,400.0,11.7,8.9
SIGS3,2026-02-12,10.0,10.35,10.0,10.35,3.5,6500.0,11.46,8.5
SIKLES,2026-02-12,612.0,620.0,611.0,614.0,0.33,23666.0,1475.0,540.0
SINDU,2026-02-12,757.0,777.0,748.0,759.0,0.26,18840.0,1482.0,608.0
SJCL,2026-02-12,297.6,325.0,297.6,319.9,7.49,177229.0,377.0,267.0
SJLIC,2026-02-12,430.0,443.0,430.0,436.0,1.4,29255.0,504.0,390.0
SKBBL,2026-02-12,765.0,770.0,762.0,763.5,-0.2,27913.0,999.0,752.7
SLBBL,2026-02-12,818.3,825.0,815.0,824.0,0.7,7968.0,1159.4,780.0
SLBSL,2026-02-12,1290.3,1310.0,1280.0,1309.0,1.45,2175.0,2649.6,1234.5
SLCF,2026-02-12,9.6,9.89,9.6,9.89,3.02,11440.0,11.99,8.6
SMATA,2026-02-12,775.0,790.0,775.0,781.0,0.77,4153.0,1382.0,734.1
SMB,2026-02-12,1900.0,1900.0,1860.2,1890.0,-0.53,1114.0,3309.9,1710.1
SMFBS,2026-02-12,1600.0,1629.9,1590.0,1629.9,1.87,875.0,2215.0,1490.0
SMH,2026-02-12,834.0,849.0,818.0,823.3,-1.28,6435.0,1142.0,685.1
SMHL,2026-02-12,469.7,469.8,455.4,464.0,-1.21,101605.0,1230.0,444.7
SMJC,2026-02-12,481.1,499.0,481.1,486.0,1.02,16816.0,735.0,479.0
SMPDA,2026-02-12,879.9,882.0,863.1,870.0,-1.13,3505.0,1155.0,840.0
SNLI,2026-02-12,460.0,461.0,453.5,456.9,-0.67,22789.0,744.5,411.6
SONA,2026-02-12,423.0,432.0,422.0,429.0,1.42,43780.0,545.0,398.0
SPC,2026-02-12,512.3,529.0,505.0,509.0,-0.64,28490.0,679.7,441.0
SPDL,2026-02-12,408.0,412.0,401.0,407.9,-0.02,99555.0,465.0,308.9
SPHL,2026-02-12,555.0,573.4,550.0,555.0,0.0,23900.0,896.9,477.1
SPIL,2026-02-12,680.0,698.7,680.0,694.9,2.19,3762.0,980.4,625.0
SPL,2026-02-12,796.0,810.0,769.0,799.0,0.38,22771.0,1035.0,765.0
SRLI,2026-02-12,385.2,392.0,383.3,392.0,1.77,33106.0,480.0,363.9
SSHL,2026-02-12,200.0,202.0,195.0,195.5,-2.25,550700.0,313.8,151.0
STC,2026-02-12,5500.0,5575.0,5500.0,5550.0,0.91,2897.0,5800.0,4832.0
SWASTIK,2026-02-12,2853.1,2905.0,2825.9,2870.0,0.59,2213.0,3400.0,391.7
SWBBL,2026-02-12,735.0,736.5,726.0,732.9,-0.29,10683.0,1046.5,724.8
SWMF,2026-02-12,650.2,676.0,650.2,675.0,3.81,6098.0,868.1,641.1
SYPNL,2026-02-12,1948.0,1974.0,1852.0,1892.0,-2.87,229050.0,2255.9,319.8
TAMOR,2026-02-12,443.9,448.0,430.3,435.2,-1.96,34402.0,594.0,430.3
TPC,2026-02-12,399.5,441.0,399.5,429.0,7.38,824475.0,636.5,270.1
TRH,2026-02-12,766.0,766.0,750.0,757.0,-1.17,2019.0,1190.0,681.1
TSHL,2026-02-12,768.4,792.0,768.4,770.5,0.27,4465.0,989.0,616.8
TTL,2026-02-12,916.0,925.0,878.1,899.0,-1.86,72151.0,1262.8,366.1
TVCL,2026-02-12,600.0,652.0,600.0,620.0,3.33,129178.0,652.0,377.6
