Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
SHLB,2026-02-25,1552.0,1560.0,1552.0,1560.0,0.52,670.0,2748.9,1540.2
SHPC,2026-02-25,539.6,540.0,534.0,536.4,-0.59,44979.0,684.9,443.1
SICL,2026-02-25,628.3,642.0,615.2,618.5,-1.56,8132.0,891.0,588.8
SIFC,2026-02-25,585.0,589.8,582.0,585.0,0.0,15375.0,687.4,459.0
SIGS2,2026-02-25,9.88,9.88,9.69,9.88,0.0,1100.0,11.7,8.9
SIGS3,2026-02-25,10.37,10.37,9.97,9.97,-3.86,200.0,11.46,8.5
SIKLES,2026-02-25,618.0,618.0,600.0,600.5,-2.83,4701.0,1400.0,540.0
SINDU,2026-02-25,730.0,756.0,730.0,745.0,2.05,16116.0,1482.0,608.0
SJCL,2026-02-25,300.0,301.0,295.2,301.0,0.33,13525.0,377.0,267.0
SJLIC,2026-02-25,430.0,444.0,428.1,443.0,3.02,41350.0,504.0,390.0
SKBBL,2026-02-25,766.5,775.0,760.0,761.2,-0.69,12025.0,999.0,752.0
SLBBL,2026-02-25,813.0,819.0,812.0,817.0,0.49,1391.0,1155.0,780.0
SLBSL,2026-02-25,1303.9,1314.5,1290.0,1296.0,-0.61,1434.0,2649.6,1234.5
SLCF,2026-02-25,9.42,9.5,9.42,9.46,0.42,1600.0,11.99,8.6
SMATA,2026-02-25,775.0,780.0,772.4,778.5,0.45,2824.0,1382.0,734.1
SMB,2026-02-25,1985.0,2001.0,1906.4,1964.0,-1.06,2829.0,3309.9,1710.1
SMFBS,2026-02-25,1636.6,1652.0,1617.2,1652.0,0.94,610.0,2101.0,1490.0
SMH,2026-02-25,603.0,650.7,603.0,646.0,7.13,61139.0,1130.0,603.0
SMHL,2026-02-25,464.0,467.0,459.0,463.4,-0.13,116834.0,1230.0,443.0
SMJC,2026-02-25,482.8,484.0,470.0,470.0,-2.65,12015.0,735.0,470.0
SMPDA,2026-02-25,861.2,875.0,860.0,875.0,1.6,2541.0,1155.0,840.0
SNLI,2026-02-25,446.0,463.9,445.3,462.0,3.59,19376.0,740.0,411.6
SONA,2026-02-25,415.0,425.0,415.0,422.0,1.69,9997.0,545.0,398.0
SPC,2026-02-25,490.0,499.9,489.0,493.0,0.61,11008.0,641.0,441.0
SPDL,2026-02-25,407.0,407.0,396.0,399.0,-1.97,56573.0,465.0,308.9
SPHL,2026-02-25,531.1,540.5,531.0,535.0,0.73,4206.0,860.0,477.1
SPIL,2026-02-25,692.0,704.0,675.0,682.0,-1.45,7712.0,980.4,625.0
SPL,2026-02-25,738.5,749.0,726.0,743.8,0.72,2606.0,1035.0,696.3
SRLI,2026-02-25,384.0,399.9,384.0,393.4,2.45,29429.0,474.4,363.9
SSHL,2026-02-25,183.6,189.0,183.0,188.0,2.4,156302.0,313.8,151.0
STC,2026-02-25,5689.0,6000.0,5650.0,5819.0,2.29,9792.0,6000.0,4832.0
SWASTIK,2026-02-25,2860.0,2889.9,2800.0,2865.0,0.17,1264.0,3400.0,391.7
SWBBL,2026-02-25,730.1,735.0,726.1,733.8,0.51,6329.0,1046.5,722.0
SWMF,2026-02-25,657.1,672.0,657.1,659.6,0.38,2210.0,868.1,641.1
SYPNL,2026-02-25,1845.0,1950.0,1845.0,1898.9,2.92,122755.0,2255.9,319.8
TAMOR,2026-02-25,415.0,418.0,411.0,414.0,-0.24,12095.0,592.6,409.0
TPC,2026-02-25,380.0,390.5,380.0,383.0,0.79,58786.0,628.9,270.1
TRH,2026-02-25,750.0,755.0,745.1,755.0,0.67,2192.0,1190.0,681.1
TSHL,2026-02-25,713.5,739.5,699.3,720.0,0.91,4430.0,989.0,616.8
TTL,2026-02-25,904.7,918.0,885.1,889.0,-1.74,53522.0,1262.8,366.1
TVCL,2026-02-25,652.0,669.9,641.0,657.0,0.77,56298.0,680.0,377.6
UAIL,2026-02-25,463.1,464.8,458.4,460.0,-0.67,34720.0,767.0,422.1
UHEWA,2026-02-25,553.3,561.0,553.3,560.0,1.21,8896.0,993.4,508.5
ULBSL,2026-02-25,3195.0,3195.0,3111.0,3166.0,-0.91,383.0,5178.0,2931.0
ULHC,2026-02-25,542.6,555.0,538.0,554.1,2.12,87723.0,603.0,411.7
UMHL,2026-02-25,628.3,634.0,624.0,630.9,0.41,50937.0,706.0,399.0
UMRH,2026-02-25,547.0,549.4,543.1,548.0,0.18,4006.0,743.8,526.0
UNHPL,2026-02-25,485.0,500.0,481.0,497.0,2.47,126698.0,554.7,290.0
UNL,2026-02-25,47479.0,47479.0,47479.0,47479.0,0.0,13.0,50724.0,45000.0
UNLB,2026-02-25,1830.0,1830.0,1810.0,1810.0,-1.09,433.0,2699.9,1810.0
UPCL,2026-02-25,367.5,375.0,365.0,367.2,-0.08,88711.0,489.0,277.5
UPPER,2026-02-25,184.0,185.0,183.0,184.4,0.22,65458.0,228.0,166.0
USHEC,2026-02-25,464.0,480.0,464.0,467.0,0.65,12818.0,700.0,410.0
USHL,2026-02-25,720.0,723.8,700.0,708.8,-1.56,3579.0,945.0,588.0
USLB,2026-02-25,1441.3,1441.3,1405.0,1429.8,-0.8,3597.0,2750.0,1401.0
VLBS,2026-02-25,758.9,758.9,745.6,747.0,-1.57,981.0,1008.0,737.0
VLUCL,2026-02-25,557.0,564.0,557.0,559.0,0.36,2280.0,766.0,516.0
WNLB,2026-02-25,1455.0,1583.0,1455.0,1579.0,8.52,2290.0,3808.0,1242.1
