Date,Open,High,Low,Close,Volume,Symbol,EMA_10,EMA_25,EMA_Difference,Monthly_Crossover,EMA_Gap_%
2026-09-30,8.8,9.54,8.8,9.06,96775.0,SAEF2,9.01,9.0,0.01,True,0.07
2026-09-30,1170.0,1210.0,1155.1,1190.0,674.0,PBD88,1185.9,1185.48,0.42,True,0.04
2026-09-30,197.6,272.8,197.6,254.8,9280890.0,LEC,225.09,223.02,2.07,True,0.93
2026-09-30,414.8,438.2,401.0,433.0,722754.0,SHINE,414.11,412.21,1.9,True,0.46
2026-09-30,511.0,511.0,511.0,511.0,4414.0,CBBLPO,444.36,408.77,35.59,True,8.71
2026-09-30,1160.0,1320.0,1155.0,1312.0,1125788.0,HDL,1186.92,1172.65,14.27,True,1.22
2026-09-30,8.73,9.3,8.5,9.03,122420.0,SEF2,9.01,9.0,0.0,True,0.03
2026-09-30,1250.0,1516.1,1175.0,1348.9,459138.0,SAPIL,1289.25,1281.61,7.65,True,0.6
2026-09-30,1210.0,1210.0,1210.0,1210.0,113.0,CIZBD86,1189.96,1189.95,0.01,True,0.0
2026-09-30,8.73,9.22,8.6,9.02,59000.0,LSH12,9.0,9.0,0.0,True,0.02
2026-09-30,616.0,715.0,581.4,654.0,434987.0,MEPDL,634.36,631.85,2.52,True,0.4
2026-09-30,46250.0,48500.0,46000.0,47999.0,362.0,UNL,47257.19,47192.58,64.61,True,0.14
2026-09-30,310.0,310.0,310.0,310.0,504428.0,NABILP,304.46,302.08,2.37,True,0.79
2026-09-30,240.0,287.7,238.1,278.8,1246473.0,GLH,262.86,262.58,0.28,True,0.11
2026-09-30,247.0,266.3,235.0,257.1,1042537.0,NMB,245.72,245.05,0.68,True,0.28
2026-09-30,181.0,206.8,181.0,194.6,1808063.0,NIMB,194.09,194.08,0.02,True,0.01
2026-09-30,1025.1,1071.0,1025.1,1071.0,1669.0,NBLD85,1061.74,1061.59,0.14,True,0.01
2026-09-30,416.1,434.9,380.0,434.9,1126682.0,SONA,429.15,428.94,0.21,True,0.05
2026-08-31,104.0,104.0,104.0,104.0,13000.0,PRVUPO,102.13,101.21,0.92,True,0.91
