Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
JBLB,2026-09-24,1275.0,1284.0,1271.0,1278.8,0.3,3192.0,1644.0,1187.5,1266.290985865064,1265.6083682313576,66.21621621621611,3423.6,1.169452557995919,0.4155158353799379,True
SLBBL,2026-09-24,808.0,822.0,808.0,822.0,1.73,3894.0,960.6,761.9,804.6030894784383,803.9285180246355,68.03615447822514,4326.233333333334,1.58326568626635,0.5657550603324125,True
SARBTM,2026-09-24,813.0,826.5,808.0,825.7,1.56,35863.0,942.4,750.0,802.7840862708729,801.8866865174223,64.07447973713037,12765.1,1.730377105944831,0.6094534958437408,True
NIFRAGED,2026-09-24,1112.4,1114.4,1100.0,1100.0,-1.11,2810.0,1200.2,986.0,1038.2715626478475,1037.0416455066745,66.82692307692308,236.96666666666667,2.741413305294782,0.8856545916164578,True
CIT,2026-09-22,1740.0,1749.0,1701.1,1749.0,0.52,9623.0,1973.0,1621.1,1711.825302884528,1710.0481768587479,68.20276497695852,5049.2,3.552436256472265,1.2743123043598643,True
MLBL,2026-09-22,382.7,382.7,360.4,365.0,-4.63,27560.0,418.0,330.7,354.546502322788,354.1142218236884,66.10486891385766,15902.233333333334,1.069315788419806,0.3788725378200297,True
TPC,2026-09-22,388.5,388.5,359.0,369.9,-4.79,16612.0,450.0,270.1,359.9473673298968,359.64181513801435,67.18480138169257,15405.766666666666,1.3150455647202761,0.46413659798814705,True
HDHPC,2026-09-18,226.0,227.0,220.0,220.5,-2.43,292304.0,274.0,165.1,210.80998658719855,210.59942628371167,66.72077922077922,163734.93333333332,1.2740671958440715,0.43139210639654946,True
SCB,2026-09-18,655.1,660.0,655.1,657.0,0.29,11505.0,712.6,603.0,650.2825498152723,650.0652663905421,66.25,8862.3,0.3977270320728167,0.13656345893944036,True
HPPL,2026-09-18,387.0,395.0,381.0,387.0,0.0,152034.0,605.0,340.1,376.91246844488614,376.319292376543,61.029411764705884,90893.1,1.0287238204680875,0.36776719535429264,True
SSHL,2026-09-18,212.0,216.9,211.2,212.1,0.05,141204.0,251.0,151.0,203.07238028431738,202.76414818912465,68.41085271317827,123584.36666666667,1.0113799939386183,0.351185985744155,True
CZBIL,2026-09-17,195.7,211.0,195.7,207.8,6.18,139787.0,238.6,183.0,201.34150041230305,201.2615124662361,66.97819314641742,43891.53333333333,0.5167975960586375,0.16977751570291275,True
USHEC,2026-09-17,500.0,503.0,497.6,503.0,0.6,8579.0,539.1,432.0,496.4697703602624,496.15354131914677,53.57142857142857,10246.966666666667,0.37010264300076867,0.1328325737879595,True
MBL,2026-09-17,254.3,257.8,253.4,256.9,1.02,68124.0,284.0,205.0,251.24952405754445,250.9164452476713,62.96296296296292,73073.73333333334,0.4064018778264085,0.14545561089161652,True
NMB,2026-09-16,247.5,251.7,247.5,249.0,0.61,53847.0,272.0,230.0,242.3242814860122,242.21843574709078,63.39285714285716,46423.166666666664,0.45009123802637985,0.1425686348771819,True
