Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
KBL,Kumari Bank,Commercial Banks,240.00,20.74,11.57,1.59,10.43,13.72,1.2,+157.45%,+106.86%,+28.73%,+4.10%,+28.34%,+31.15%,+18.17%,21,Strong
NTC,Nepal Doorsanchar Company,Telecom,904.90,46.27,19.56,1.68,0.39,8.58,6.17,+214.26%,+103.01%,+57.13%,+6.67%,+5.84%,+3.19%,+4.63%,21,Strong
MBL,Machhapuchhre Bank,Commercial Banks,266.89,16.73,15.95,1.65,11.19,10.35,0.85,+141.93%,+96.61%,+20.97%,+4.54%,+16.25%,+19.21%,+25.37%,20,Strong
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,874.00,32.53,26.87,5.03,7.04,18.73,2.33,+151.73%,+98.57%,+25.86%,+4.63%,+7.03%,+4.86%,+15.01%,20,Strong
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,279.00",61.89,20.67,8.56,8.73,41.43,4.26,+853.71%,+145.05%,+376.86%,+18.42%,+31.81%,+36.06%,+27.45%,19,Good
DDBL,Deprosc Laghubitta,Microcredit,887.90,47.41,18.73,4.02,7.32,21.44,2.58,+119.03%,+95.97%,+9.51%,-0.04%,+6.46%,+11.81%,+26.43%,19,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,382.50",50.65,27.3,4.99,6.36,18.28,2.48,+166.72%,+89.61%,+33.36%,-5.67%,+5.53%,+9.58%,+18.43%,19,Good
KMCDB,Kalika Laghubitta Bittiya Sanstha,Microcredit,985.00,26.09,37.76,5.98,6.28,15.84,2.18,+187.61%,+96.09%,+30.73%,-14.00%,+7.42%,+3.54%,+3.41%,19,Good
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,605.00",63.99,25.08,5.95,4.2,23.71,4.56,+185.68%,+100.69%,+42.84%,-0.92%,+3.86%,+8.92%,-11.22%,19,Good
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,"1,040.00",32.57,31.93,6.12,9.43,19.16,1.84,+628.49%,+97.82%,+264.24%,+7.97%,+7.22%,+11.12%,-0.76%,18,Good
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,647.00",77.9,85.33,15.5,4.66,18.17,3.21,+166.17%,+99.17%,+33.08%,+5.78%,+4.59%,+8.70%,+33.19%,18,Good
BHCL,Bikash Hydropower Company Limited,Hydro Power,618.00,11.05,55.94,5.76,0.31,10.29,7.88,+182.83%,+131.62%,+41.42%,+3.44%,+6.37%,+27.69%,+92.34%,18,Good
BHL,Balephi Hydropower Limited,Hydro Power,249.00,12.48,19.95,3.08,1.94,15.44,5.26,+83.29%,+83.19%,-8.36%,+3.63%,+26.27%,+39.50%,-24.92%,18,Good
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,128.00",31.98,35.27,4.81,7.18,13.63,1.67,+234.60%,+103.14%,+67.30%,-13.65%,+7.43%,+4.64%,-3.22%,18,Good
GBLBS,Grameen Bikas Laghubitta,Microcredit,814.00,43.75,18.61,2.93,4.51,15.73,2.86,+80.21%,+99.76%,-11.94%,-0.85%,+7.79%,-0.73%,+1.85%,18,Good
GFCL,Goodwill Finance,Finance,690.00,23.61,29.22,2.69,5.66,9.2,1.38,+198.81%,+153.54%,+49.40%,+28.16%,+8.66%,+20.02%,+4.55%,18,Good
MANDU,Mandu Hydropower Limited,Hydro Power,859.50,26.85,32.01,5.62,1.6,17.57,6.76,+264.30%,+138.21%,+82.15%,+6.81%,+7.17%,+6.77%,-1.86%,18,Good
MLBL,Mahalaxmi Bikas Bank Limited,Development Bank,398.00,14.24,27.95,2.41,7.89,8.61,0.97,+213.74%,+99.44%,+56.87%,+0.03%,+9.07%,+9.52%,+6.76%,18,Good
MNBBL,Muktinath Bikas Bank,Development Bank,399.10,16.8,23.76,2.64,9.93,11.1,1.02,+198.98%,+91.14%,+31.68%,-10.98%,+10.74%,+14.03%,+26.09%,18,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,205.00",48.21,25.0,4.91,7.25,19.65,2.38,+154.15%,+101.55%,+11.22%,-4.11%,+7.33%,+5.15%,+15.22%,18,Good
PCBL,Prime Commercial Bank,Commercial Banks,262.89,19.5,13.48,1.59,8.2,11.76,1.28,+62.38%,+90.26%,-24.83%,-7.54%,+11.97%,+8.51%,+12.92%,18,Good
SAHAS,Sahas Urja Limited,Hydro Power,636.00,39.57,16.07,3.73,1.41,23.18,9.6,+82.83%,+84.39%,-24.45%,-13.29%,+12.37%,+14.88%,+57.09%,18,Good
SANIMA,Sanima Bank,Commercial Banks,364.70,20.48,17.8,2.12,10.55,11.88,1.03,+205.79%,+95.43%,+52.89%,-0.19%,+9.52%,+12.63%,+24.49%,18,Good
SCB,Standard Chartered Bank,Commercial Banks,677.00,27.35,24.75,3.21,6.95,12.96,1.63,+98.41%,+88.48%,-0.80%,-5.27%,+4.62%,+7.63%,+10.63%,18,Good
SHL,Soaltee Hotel,Hotels,519.10,6.8,76.31,18.05,0.3,23.65,18.22,+181.24%,+132.46%,+40.62%,+1.60%,+5.27%,+6.26%,+24.16%,18,Good
AKPL,Arun Kabeli Power Ltd.,Hydro Power,304.89,7.93,38.45,2.94,0.83,7.65,4.18,+166.33%,+97.39%,+33.17%,+2.45%,+15.58%,+22.50%,+36.67%,17,Good
API,Api Power,Hydro Power,364.20,14.03,25.96,3.1,1.03,11.93,5.89,+62.21%,+78.15%,-18.89%,+2.48%,+16.58%,+29.44%,+42.58%,17,Good
BPCL,Butwal Power,Hydro Power,750.00,13.22,56.72,3.52,0.1,6.21,5.62,+165.77%,+92.38%,+32.89%,-0.97%,+5.19%,+2.74%,+94.47%,17,Good
GBBL,Garima Bikas Bank,Development Bank,428.00,21.1,20.29,2.68,9.92,13.22,1.21,+153.47%,+87.15%,+19.56%,-4.08%,+6.23%,+12.04%,+18.21%,17,Good
