Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,599.90",110.66,14.46,4.47,6.62,30.93,4.06,+451.76%,+42.03%,+313.82%,+32.73%,+23.07%,+9.36%,-2.07%,21,Strong
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"11,650.00",544.86,21.38,3.36,0.94,15.7,8.08,+137.96%,+56.39%,+78.47%,+10.59%,+2.82%,0.00%,-0.34%,20,Strong
KBL,Kumari Bank,Commercial Banks,213.00,28.17,7.56,1.25,9.95,16.49,1.51,+76.81%,+31.89%,+32.61%,+7.74%,-5.25%,-1.62%,+7.80%,20,Strong
NBL,Nepal Bank,Commercial Banks,275.89,30.63,9.01,0.96,10.46,10.65,0.93,+61.13%,+35.54%,+20.84%,+5.46%,+1.43%,+2.19%,+10.51%,20,Strong
NTC,Nepal Doorsanchar Company,Telecom,881.00,46.47,18.96,1.6,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,+2.44%,+1.26%,+7.63%,20,Strong
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,874.50,52.14,16.77,3.14,6.23,18.72,2.59,+282.95%,+37.24%,+187.21%,+16.26%,-9.38%,-17.50%,-21.83%,19,Good
GBBL,Garima Bikas Bank,Development Bank,436.30,28.04,15.56,2.46,9.59,15.82,1.49,+61.10%,+34.12%,+20.82%,+5.78%,+4.13%,+4.33%,+8.13%,19,Good
GUFL,Gurkhas Finance Ltd.,Finance,506.00,25.28,20.02,3.02,6.68,15.1,1.97,+69.46%,+34.80%,+27.09%,+6.05%,-11.85%,-10.28%,-1.61%,19,Good
NADEP,Nadep Laghubitta Bittiya Sanstha Ltd.,Microcredit,685.00,29.52,23.2,3.56,6.85,15.35,1.96,+120.25%,+42.45%,+65.19%,+18.06%,-7.43%,-10.22%,-13.31%,19,Good
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,091.00",61.87,17.63,4.5,6.57,25.5,3.37,+82.66%,+34.93%,+36.99%,+12.98%,-0.82%,-4.30%,-10.86%,18,Good
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microcredit,837.00,36.66,22.83,5.18,6.56,22.67,3.0,+140.64%,+48.50%,+80.48%,+15.46%,-6.79%,-9.88%,-32.99%,18,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,248.09",61.8,20.2,4.46,6.0,22.08,3.16,+72.62%,+36.09%,+29.47%,+9.68%,-2.03%,-4.65%,-0.46%,18,Good
MEN,Mountain Energy Nepal Limited,Hydro Power,627.10,25.52,24.57,4.16,0.62,16.93,10.45,+51.06%,+42.03%,+13.30%,+6.00%,+4.17%,+2.42%,+21.69%,18,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,112.00",58.59,18.98,3.98,7.18,20.98,2.57,+51.41%,+40.89%,+13.56%,+7.63%,-0.13%,-2.88%,+1.05%,18,Good
SBL,Siddhartha Bank,Commercial Banks,412.00,23.79,17.32,1.82,9.56,10.53,1.0,+74.67%,+36.19%,+31.01%,+4.23%,-1.90%,+1.98%,+15.02%,18,Good
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microcredit,720.00,32.52,22.14,4.14,7.89,18.7,2.1,+72.03%,+40.93%,+29.03%,+8.67%,-5.26%,-14.18%,-22.95%,18,Good
SWBBL,Swabalamban Bikas Bank,Microcredit,670.00,35.41,18.92,2.77,5.64,14.64,2.21,+92.04%,+42.32%,+44.03%,+6.76%,-2.19%,-9.34%,-14.39%,18,Good
DDBL,Deprosc Laghubitta,Microcredit,831.00,48.15,17.26,3.66,5.38,21.22,3.33,+45.48%,+36.52%,+9.11%,+6.88%,-0.48%,-2.27%,+5.50%,17,Good
HEI,Himalayan Everest Insurance Limited,Non Life Insurance,464.70,13.51,34.39,1.58,1.01,6.31,3.15,+205.59%,+55.51%,+129.19%,+4.22%,-13.94%,-20.70%,-18.56%,17,Good
JBBL,Jyoti Bikas Bank,Development Bank,325.00,22.88,14.2,1.9,9.37,13.38,1.29,+59.81%,+39.14%,+19.86%,+4.61%,-5.47%,-10.96%,-1.26%,17,Good
KMCDB,Kalika Laghubitta Bittiya Sanstha,Microcredit,772.00,27.4,28.17,4.32,6.22,15.33,2.12,+735.13%,+38.74%,+526.34%,+15.34%,-0.76%,-10.54%,-20.50%,17,Good
MATRI,Matribhumi Lagubitta Bittiya Sanstha Limited,Microcredit,716.20,45.13,15.87,4.92,12.35,31.03,2.32,+298.10%,+53.10%,+198.58%,+9.92%,-14.12%,-19.03%,-28.55%,17,Good
MSLB,Mahuli Samudayik Laghubitta Sanstha Ltd.,Microcredit,"1,196.00",49.88,23.98,5.25,6.54,21.89,2.9,+57.38%,+36.82%,+18.03%,+8.34%,-9.19%,-4.47%,-13.84%,17,Good
SAHAS,Sahas Urja Limited,Hydro Power,686.90,29.72,23.12,3.8,1.24,16.46,7.36,+14.92%,+21.88%,-13.81%,+2.17%,+1.36%,+2.97%,+30.05%,17,Good
SHPC,Sanima Mai Hydropower,Hydro Power,505.20,7.85,64.35,3.67,0.06,5.71,5.38,+116.60%,+64.72%,+62.45%,+3.08%,+0.44%,-2.73%,-7.84%,17,Good
TAMOR,Sanima Middle Tamor Hydropower Limited,Hydro Power,503.00,18.73,26.85,3.9,2.34,14.54,4.35,+148.71%,+54.39%,+86.53%,+9.49%,+11.90%,+8.57%,-0.13%,17,Good
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,Microcredit,"2,926.00",52.93,55.28,9.58,7.89,17.32,1.95,+83.29%,+37.78%,+37.47%,+10.32%,+5.48%,+1.05%,-18.23%,17,Good
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,190.00",32.63,36.47,6.81,7.78,18.68,2.13,+48.61%,+38.46%,+11.46%,+6.56%,+7.43%,+6.82%,+23.25%,16,Good
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,932.00,35.91,25.95,3.71,5.35,14.3,2.25,+43.30%,+36.79%,+7.47%,+3.77%,-0.24%,+0.40%,+2.73%,16,Good
CZBIL,Citizen Bank International,Commercial Banks,198.80,13.53,14.69,1.24,9.79,8.43,0.78,+60.63%,+33.16%,+20.47%,+2.90%,-4.83%,-2.36%,+1.28%,16,Good
EBL,Everest Bank,Commercial Banks,716.10,36.95,19.38,2.79,9.9,14.41,1.32,+52.28%,+33.87%,+14.21%,+5.00%,-1.90%,+0.93%,+3.13%,16,Good
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank,463.00,23.15,20.0,2.57,9.88,12.86,1.18,+51.89%,+32.77%,+13.92%,+4.31%,+0.52%,-2.76%,-0.63%,16,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,482.80,23.48,20.56,2.26,7.77,10.99,1.25,+51.51%,+32.91%,+13.63%,+4.05%,-2.86%,-4.21%,-8.62%,16,Good
MHNL,Mountain Hydro Nepal Limited,Hydro Power,235.50,12.78,18.43,3.36,3.51,18.23,4.04,+108.12%,+57.32%,+56.09%,+90.89%,-2.24%,-11.80%,-5.63%,16,Good
MKHL,Mai Khola Hydropower Limited,Hydro Power,494.00,13.83,35.72,4.32,1.21,12.1,5.48,+370.05%,+51.05%,+252.54%,+10.04%,-1.59%,-6.37%,-35.44%,16,Good
MNBBL,Muktinath Bikas Bank,Development Bank,356.90,18.98,18.81,2.21,9.9,11.73,1.08,+61.08%,+33.77%,+20.81%,+4.34%,-3.88%,-5.46%,-7.26%,16,Good
NIL,Neco Insurance,Non Life Insurance,520.00,10.4,50.0,1.76,0.94,4.6,2.37,+75.85%,+50.05%,+31.89%,+1.45%,-16.67%,-22.27%,-19.96%,16,Good
NMB,NMB Bank,Commercial Banks,238.50,20.81,11.46,1.31,9.44,11.45,1.1,+49.33%,+31.64%,+12.00%,+3.42%,-3.83%,-2.25%,+1.34%,16,Good
