Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,100.00",45.16,24.36,5.12,7.08,21.03,2.6,+107.35%,+50.08%,+38.23%,+8.83%,+2.78%,+0.52%,-14.23%,21,Strong
GUFL,Gurkhas Finance Ltd.,Finance,572.00,19.89,28.76,3.62,6.85,12.6,1.6,+109.99%,+64.08%,+39.99%,+6.21%,+7.48%,+10.96%,-1.10%,20,Strong
NBL,Nepal Bank,Commercial Banks,270.30,25.34,10.67,0.99,10.25,9.29,0.83,+114.05%,+56.08%,+42.70%,+3.95%,+2.97%,+0.75%,-9.20%,20,Strong
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,932.00,33.41,27.89,3.85,5.53,13.81,2.11,+57.35%,+51.24%,+4.90%,+3.54%,+2.39%,+2.79%,-2.12%,19,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,164.00",30.78,37.82,8.83,0.2,23.35,19.47,+89.87%,+75.42%,+26.58%,+9.04%,+1.77%,+1.33%,-5.92%,19,Good
KBL,Kumari Bank,Commercial Banks,225.00,21.24,10.59,1.42,10.41,13.4,1.17,+53.60%,+42.19%,+2.40%,+4.87%,+8.72%,+2.16%,-0.56%,19,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,120.00",51.59,21.71,4.32,7.0,19.88,2.48,+60.53%,+49.38%,+7.02%,+5.76%,+0.18%,+1.72%,-8.84%,19,Good
NTC,Nepal Doorsanchar Company,Telecom,861.00,46.47,18.53,1.56,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,+2.61%,-0.80%,-2.45%,19,Good
PCBL,Prime Commercial Bank,Commercial Banks,247.00,19.66,12.57,1.44,8.07,11.48,1.27,+51.19%,+45.29%,+0.79%,+3.31%,+3.92%,+1.47%,-4.29%,19,Good
SCB,Standard Chartered Bank,Commercial Banks,651.00,27.64,23.55,2.98,6.99,12.64,1.58,+51.58%,+47.48%,+1.05%,+3.61%,+1.72%,+2.03%,+1.59%,19,Good
SHINE,Shine Resunga Development Bank,Development Bank,413.00,20.93,19.73,2.7,10.0,13.68,1.24,+95.01%,+51.97%,+30.01%,+4.40%,+3.43%,+1.23%,-6.64%,19,Good
DDBL,Deprosc Laghubitta,Microcredit,836.50,44.13,18.96,3.94,5.63,20.79,3.13,+53.56%,+48.67%,-6.93%,-4.01%,+2.20%,+0.72%,-3.28%,18,Good
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microcredit,881.90,31.68,27.83,4.95,8.47,17.8,1.88,+81.16%,+54.30%,+20.77%,+6.37%,+0.70%,-1.01%,-11.06%,18,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,496.00,20.67,24.0,2.41,7.88,10.06,1.13,+96.82%,+46.49%,+31.21%,+4.27%,+3.44%,-0.37%,-20.53%,18,Good
EBL,Everest Bank,Commercial Banks,728.60,32.35,22.52,2.98,10.3,13.24,1.17,+57.26%,+47.54%,+4.84%,+3.93%,+4.32%,+3.87%,+8.35%,17,Good
GBBL,Garima Bikas Bank,Development Bank,420.00,23.21,18.09,2.51,9.73,13.85,1.29,+65.04%,+45.62%,+10.03%,+5.00%,+5.01%,+1.21%,-3.45%,17,Good
JBBL,Jyoti Bikas Bank,Development Bank,347.10,19.09,18.18,2.12,9.63,11.68,1.1,+102.22%,+49.45%,+34.81%,+5.38%,+3.20%,-4.05%,-10.40%,17,Good
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank,478.00,21.23,22.52,2.9,9.88,12.86,1.18,+51.89%,+32.77%,+13.92%,+4.31%,+2.13%,+0.23%,-3.47%,17,Good
MSLB,Mahuli Samudayik Laghubitta Sanstha Ltd.,Microcredit,"1,229.00",42.26,29.08,5.84,6.93,20.09,2.53,+75.39%,+56.19%,+16.93%,+6.86%,-2.01%,-1.70%,-9.96%,17,Good
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,495.00",65.09,22.97,5.2,4.01,22.64,4.52,+52.57%,+46.97%,+1.71%,+6.50%,-2.16%,-2.80%,-15.09%,17,Good
NMBMF,NMB Microfinance,Microcredit,616.00,16.08,38.31,4.32,7.56,11.29,1.32,+149.38%,+54.51%,+66.25%,+1.30%,+1.29%,-1.30%,-19.14%,17,Good
SADBL,Shangrila Development Bank,Development Bank,417.50,23.83,17.52,2.46,9.43,14.06,1.35,+83.67%,+40.37%,+37.75%,+6.74%,+3.92%,-0.05%,-9.72%,17,Good
SAHAS,Sahas Urja Limited,Hydro Power,665.00,34.48,19.29,3.76,1.29,19.51,8.51,+30.71%,+36.89%,-12.86%,+3.53%,+4.89%,+7.31%,+19.74%,17,Good
SANIMA,Sanima Bank,Commercial Banks,372.70,22.78,16.36,2.1,9.55,12.86,1.22,+51.06%,+33.75%,+13.29%,+4.56%,+6.28%,+6.28%,-1.11%,17,Good
SWBBL,Swabalamban Bikas Bank,Microcredit,681.90,24.59,27.73,3.01,5.71,10.85,1.62,+86.95%,+49.61%,+24.63%,+3.69%,-3.54%,-6.53%,-26.79%,17,Good
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,934.00,34.02,27.45,5.21,8.36,18.98,2.03,+56.70%,+50.45%,+4.47%,+5.43%,0.00%,-1.18%,-21.35%,16,Good
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,595.00,11.16,53.31,5.28,0.29,9.91,7.69,+81.61%,+58.44%,+21.07%,+3.45%,+1.69%,-15.32%,-28.42%,16,Good
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"11,000.50",305.29,36.03,3.51,1.51,9.73,3.88,+104.47%,+64.98%,+36.32%,+3.85%,+0.17%,+0.09%,-9.86%,16,Good
CZBIL,Citizen Bank International,Commercial Banks,207.90,11.23,18.51,1.33,9.28,7.2,0.7,+264.06%,+45.95%,+142.71%,+4.14%,+6.13%,+0.68%,-6.82%,16,Good
