Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
KBL,Kumari Bank,Commercial Banks,230.80,20.74,11.13,1.53,10.43,13.72,1.2,+157.45%,+106.86%,+28.73%,+4.10%,+7.82%,+29.95%,+11.48%,21,Strong
MBL,Machhapuchhre Bank,Commercial Banks,252.50,16.73,15.09,1.56,11.19,10.35,0.85,+141.93%,+96.61%,+20.97%,+4.54%,+0.94%,+13.31%,+20.13%,20,Strong
NTC,Nepal Doorsanchar Company,Telecom,880.00,46.27,19.02,1.63,0.39,8.58,6.17,+214.26%,+103.01%,+57.13%,+6.67%,-0.02%,+3.34%,+0.96%,20,Strong
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,998.00,32.57,30.64,5.87,9.43,19.16,1.84,+628.49%,+97.82%,+264.24%,+7.97%,+0.50%,+3.83%,-5.10%,19,Good
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,198.70",61.89,19.37,8.02,8.73,41.43,4.26,+853.71%,+145.05%,+376.86%,+18.42%,+13.71%,+24.49%,+10.77%,19,Good
DDBL,Deprosc Laghubitta,Microcredit,846.10,47.41,17.85,3.83,7.32,21.44,2.58,+119.03%,+95.97%,+9.51%,-0.04%,-6.37%,+3.64%,+21.26%,19,Good
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,572.00",63.99,24.57,5.82,4.2,23.71,4.56,+185.68%,+100.69%,+42.84%,-0.92%,-0.83%,+7.56%,-10.52%,19,Good
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,831.00,32.53,25.55,4.79,7.04,18.73,2.33,+151.73%,+98.57%,+25.86%,+4.63%,-5.73%,+1.83%,+12.42%,19,Good
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,368.10",77.9,81.75,14.85,4.66,18.17,3.21,+166.17%,+99.17%,+33.08%,+5.78%,+7.27%,+14.43%,+36.33%,18,Good
BHL,Balephi Hydropower Limited,Hydro Power,230.00,12.48,18.43,2.84,1.94,15.44,5.26,+83.29%,+83.19%,-8.36%,+3.63%,+4.31%,+30.63%,-18.78%,18,Good
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,160.00",31.98,36.27,4.94,7.18,13.63,1.67,+234.60%,+103.14%,+67.30%,-13.65%,+1.67%,+6.88%,-1.03%,18,Good
GBLBS,Grameen Bikas Laghubitta,Microcredit,784.40,43.75,17.93,2.82,4.51,15.73,2.86,+80.21%,+99.76%,-11.94%,-0.85%,-0.29%,+2.86%,-4.55%,18,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,317.00",50.65,26.0,4.75,6.36,18.28,2.48,+166.72%,+89.61%,+33.36%,-5.67%,-5.64%,+0.52%,+15.87%,18,Good
KMCDB,Kalika Laghubitta Bittiya Sanstha,Microcredit,928.00,26.09,35.57,5.63,6.28,15.84,2.18,+187.61%,+96.09%,+30.73%,-14.00%,+0.75%,0.00%,-0.62%,18,Good
MANDU,Mandu Hydropower Limited,Hydro Power,851.00,26.85,31.69,5.57,1.6,17.57,6.76,+264.30%,+138.21%,+82.15%,+6.81%,+0.96%,+5.00%,-3.99%,18,Good
NMB,NMB Bank,Commercial Banks,251.00,17.1,14.68,1.48,10.0,10.1,0.92,+79.98%,+90.43%,-14.29%,-5.54%,+2.15%,+5.04%,+7.17%,18,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,150.00",48.21,23.86,4.69,7.25,19.65,2.38,+154.15%,+101.55%,+11.22%,-4.11%,-1.51%,+1.17%,+9.94%,18,Good
SAHAS,Sahas Urja Limited,Hydro Power,622.10,39.57,15.72,3.64,1.41,23.18,9.6,+82.83%,+84.39%,-24.45%,-13.29%,+0.46%,+14.56%,+52.53%,18,Good
SANIMA,Sanima Bank,Commercial Banks,351.90,20.48,17.18,2.04,10.55,11.88,1.03,+205.79%,+95.43%,+52.89%,-0.19%,+0.03%,+5.36%,+21.15%,18,Good
SHEL,Singati Hydro Energy Limited,Hydro Power,329.00,13.58,24.22,2.85,0.94,11.78,6.06,+75.47%,+75.66%,-12.27%,+2.60%,+0.30%,+20.32%,+40.31%,18,Good
