Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,130.00",45.16,25.02,5.26,7.08,21.03,2.6,+107.35%,+50.08%,+38.23%,+8.83%,+3.91%,-3.67%,-5.65%,19,Good
GUFL,Gurkhas Finance Ltd.,Finance,581.00,19.89,29.21,3.68,6.85,12.6,1.6,+109.99%,+64.08%,+39.99%,+6.21%,+12.68%,-3.73%,+7.90%,19,Good
NBL,Nepal Bank,Commercial Banks,268.00,25.34,10.57,0.98,10.25,9.29,0.83,+114.05%,+56.08%,+42.70%,+3.95%,+1.67%,-2.90%,+5.11%,19,Good
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,921.00,33.41,27.56,3.81,5.53,13.81,2.11,+57.35%,+51.24%,+4.90%,+3.54%,+1.88%,-5.61%,+19.79%,18,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,168.00",30.78,37.95,8.86,0.2,23.35,19.47,+89.87%,+75.42%,+26.58%,+9.04%,+1.57%,-8.03%,+17.86%,18,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,500.00,20.67,24.19,2.43,7.88,10.06,1.13,+96.82%,+46.49%,+31.21%,+4.27%,+1.83%,-4.58%,+12.50%,18,Good
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,540.00",65.09,23.66,5.36,4.01,22.64,4.52,+52.57%,+46.97%,+1.71%,+6.50%,+0.33%,-4.19%,-3.31%,18,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,146.00",51.59,22.21,4.42,7.0,19.88,2.48,+60.53%,+49.38%,+7.02%,+5.76%,+4.95%,-1.88%,+7.18%,18,Good
NTC,Nepal Doorsanchar Company,Telecom,857.00,46.47,18.44,1.56,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,-1.74%,-2.61%,+3.51%,18,Good
PCBL,Prime Commercial Bank,Commercial Banks,240.00,19.66,12.21,1.4,8.07,11.48,1.27,+51.19%,+45.29%,+0.79%,+3.31%,+1.74%,-6.58%,+8.07%,18,Good
SCB,Standard Chartered Bank,Commercial Banks,657.10,27.64,23.78,3.01,6.99,12.64,1.58,+51.58%,+47.48%,+1.05%,+3.61%,+3.07%,-5.95%,+10.94%,18,Good
SHINE,Shine Resunga Development Bank,Development Bank,417.00,20.93,19.92,2.72,10.0,13.68,1.24,+95.01%,+51.97%,+30.01%,+4.40%,+2.71%,-3.92%,+9.14%,18,Good
SWBBL,Swabalamban Bikas Bank,Microcredit,743.90,24.59,30.25,3.28,5.71,10.85,1.62,+86.95%,+49.61%,+24.63%,+3.69%,+2.62%,-4.26%,-1.72%,18,Good
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,960.00,34.02,28.22,5.36,8.36,18.98,2.03,+56.70%,+50.45%,+4.47%,+5.43%,+2.13%,-3.71%,-7.97%,17,Good
EBL,Everest Bank,Commercial Banks,709.40,32.35,21.93,2.9,10.3,13.24,1.17,+57.26%,+47.54%,+4.84%,+3.93%,+2.07%,+0.51%,+17.39%,17,Good
GBLBS,Grameen Bikas Laghubitta,Microcredit,780.00,40.0,19.5,2.64,4.49,13.55,2.47,+37.14%,+50.62%,-8.57%,+6.15%,+5.69%,-1.55%,-1.04%,17,Good
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microcredit,899.90,31.68,28.4,5.06,8.47,17.8,1.88,+81.16%,+54.30%,+20.77%,+6.37%,-0.01%,-5.13%,+2.65%,17,Good
JBBL,Jyoti Bikas Bank,Development Bank,359.90,19.09,18.85,2.2,9.63,11.68,1.1,+102.22%,+49.45%,+34.81%,+5.38%,+1.67%,-1.69%,+10.39%,17,Good
KBL,Kumari Bank,Commercial Banks,215.40,21.24,10.14,1.36,10.41,13.4,1.17,+53.60%,+42.19%,+2.40%,+4.87%,-0.28%,-0.32%,+1.16%,17,Good
MSLB,Mahuli Samudayik Laghubitta Sanstha Ltd.,Microcredit,"1,228.00",42.26,29.06,5.84,6.93,20.09,2.53,+75.39%,+56.19%,+16.93%,+6.86%,-0.97%,-8.58%,+7.55%,17,Good
NICL,Nepal Insurance,Non Life Insurance,563.00,5.55,101.51,2.77,0.71,3.21,1.88,"+2,038.10%",+52.82%,"+1,325.47%",+1.72%,+16.80%,+7.83%,-4.83%,17,Good
NMBMF,NMB Microfinance,Microcredit,642.00,16.08,39.92,4.51,7.56,11.29,1.32,+149.38%,+54.51%,+66.25%,+1.30%,+0.47%,-8.42%,-8.19%,17,Good
SAHAS,Sahas Urja Limited,Hydro Power,664.30,34.48,19.27,3.76,1.29,19.51,8.51,+30.71%,+36.89%,-12.86%,+3.53%,+8.19%,+6.31%,+55.10%,17,Good
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"5,940.00",82.49,72.01,12.25,4.49,17.02,3.1,+58.84%,+51.67%,+5.89%,+13.06%,-2.53%,+3.97%,+21.32%,16,Good
DDBL,Deprosc Laghubitta,Microcredit,850.00,44.13,19.26,4.0,5.63,20.79,3.13,+53.56%,+48.67%,-6.93%,-4.01%,+2.91%,-6.59%,+18.98%,16,Good
GBBL,Garima Bikas Bank,Development Bank,416.00,23.21,17.92,2.48,9.73,13.85,1.29,+65.04%,+45.62%,+10.03%,+5.00%,+0.48%,-1.98%,+13.43%,16,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,297.00",47.73,27.17,5.08,6.32,18.7,2.56,+61.15%,+56.23%,-5.76%,-7.91%,+1.17%,-8.60%,+14.52%,16,Good
NIL,Neco Insurance,Non Life Insurance,656.20,7.89,83.22,2.15,0.99,3.54,1.77,"+1,421.62%",+66.61%,+884.83%,-4.39%,+10.29%,+3.35%,-1.00%,16,Good
PRIN,Prabhu Insurance,Non Life Insurance,703.00,16.58,42.39,2.21,1.15,7.91,3.67,+72.75%,+52.66%,+15.17%,+3.17%,+10.53%,+0.70%,+8.95%,16,Good
SADBL,Shangrila Development Bank,Development Bank,420.00,17.3,24.28,2.65,9.82,10.89,1.01,+60.12%,+45.56%,+6.75%,+3.62%,+1.82%,-5.62%,+10.22%,16,Good
SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non Life Insurance,645.00,6.77,95.24,1.61,1.43,2.9,1.19,+256.71%,+30.32%,+137.81%,+2.73%,+9.88%,+3.33%,-1.85%,16,Good
SARBTM,Sarbottam Cement Limited,Manufacturing And Processing,865.20,23.12,37.43,4.42,0.62,11.8,7.3,+68.26%,+71.23%,+12.17%,+3.72%,+5.51%,-6.36%,+10.04%,16,Good
SHIVM,Shivam Cements Ltd,Manufacturing And Processing,673.00,14.76,45.59,3.63,0.26,7.97,6.31,+73.41%,+58.46%,+15.61%,+2.73%,+1.97%,-0.30%,+35.22%,16,Good
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,830.00,31.3,26.52,5.19,6.96,19.56,2.46,+64.89%,+52.33%,-3.78%,-7.84%,+2.03%,-6.86%,+7.39%,16,Good
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microcredit,833.00,25.2,33.05,5.2,8.78,15.75,1.61,+53.99%,+56.21%,+2.66%,+1.20%,-0.60%,-8.49%,-10.09%,16,Good
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microcredit,665.00,22.82,29.14,4.35,6.71,14.93,1.94,+61.66%,+49.97%,+7.78%,+4.44%,+0.76%,-2.64%,-7.06%,16,Good
UNL,Unilever Nepal,Manufacturing And Processing,"46,725.00",1717.12,27.21,9.13,0.55,33.57,21.67,+62.28%,+49.79%,+8.19%,+10.53%,+0.59%,+1.58%,+4.27%,16,Good
API,Api Power,Hydro Power,348.00,13.76,25.28,3.02,1.19,11.93,5.46,+54.51%,+35.98%,-1.90%,-1.92%,+4.35%,+2.35%,+24.03%,15,Good
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,656.00,11.16,58.78,5.82,0.29,9.91,7.69,+81.61%,+58.44%,+21.07%,+3.45%,-4.93%,-17.59%,-17.02%,15,Good
CORBL,Corporate Development Bank,Development Bank,"1,966.10",12.26,160.4,14.12,3.34,8.8,2.03,+272.91%,+64.69%,+148.61%,+2.56%,-1.00%,+12.27%,-19.54%,15,Good
CZBIL,Citizen Bank International,Commercial Banks,202.50,11.23,18.03,1.3,9.28,7.2,0.7,+264.06%,+45.95%,+142.71%,+4.14%,+0.25%,-5.95%,+1.48%,15,Good
EDBL,Excel Development Bank,Development Bank,588.20,16.61,35.4,3.2,7.79,9.03,1.03,+75.88%,+49.69%,+17.25%,+3.40%,+2.83%,-10.06%,+1.30%,15,Good
GLBSL,Gurans Laghubitta Bittiya Sanstha,Microcredit,"1,813.90",40.62,44.65,10.74,9.58,24.05,2.27,+51.49%,+50.73%,+0.99%,+6.01%,+2.83%,-8.30%,-12.24%,15,Good
HEI,Himalayan Everest Insurance Limited,Non Life Insurance,565.00,5.9,95.82,1.78,1.3,2.87,1.25,+601.80%,+41.15%,+367.87%,-2.09%,+9.07%,+5.81%,0.00%,15,Good
KDL,Kalinchowk Darshan Limited,Hotels,834.00,10.52,79.3,7.73,0.22,9.75,8.02,+314.31%,+184.62%,+163.06%,+0.58%,+3.22%,-9.25%,-19.83%,15,Good
NIMB,Nepal Investment Bank,Commercial Banks,197.30,12.29,16.05,0.99,8.04,6.15,0.68,+95.08%,+47.01%,+30.06%,+2.54%,+0.31%,-7.93%,-6.83%,15,Good
NMB,NMB Bank,Commercial Banks,243.20,16.08,15.12,1.47,9.17,9.71,0.95,+63.03%,+50.04%,-5.94%,-2.23%,+0.62%,-1.42%,+8.17%,15,Good
SANIMA,Sanima Bank,Commercial Banks,368.00,20.11,18.3,2.17,9.39,11.88,1.14,+68.95%,+46.63%,-1.82%,-1.77%,+4.55%,+3.98%,+20.27%,15,Good
