Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"11,625.00",544.86,21.34,3.35,0.94,15.7,8.08,+137.96%,+56.39%,+78.47%,+10.59%,+3.01%,+0.03%,-5.29%,21,Strong
GUFL,Gurkhas Finance Ltd.,Finance,551.00,25.28,21.8,3.29,6.68,15.1,1.97,+69.46%,+34.80%,+27.09%,+6.05%,+5.50%,+8.62%,+4.46%,21,Strong
KBL,Kumari Bank,Commercial Banks,216.80,28.17,7.7,1.27,9.95,16.49,1.51,+76.81%,+31.89%,+32.61%,+7.74%,+4.81%,-0.68%,+5.86%,21,Strong
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,355.00",110.66,12.25,3.79,6.62,30.93,4.06,+451.76%,+42.03%,+313.82%,+32.73%,-2.26%,-11.68%,-27.65%,20,Strong
NBL,Nepal Bank,Commercial Banks,269.80,25.34,10.65,0.99,10.25,9.29,0.83,+114.05%,+56.08%,+42.70%,+3.95%,+2.95%,+1.02%,-5.03%,20,Strong
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,933.50,33.41,27.94,3.86,5.53,13.81,2.11,+57.35%,+51.24%,+4.90%,+3.54%,+2.75%,+1.74%,+1.59%,19,Good
DDBL,Deprosc Laghubitta,Microcredit,853.00,48.15,17.72,3.76,5.38,21.22,3.33,+45.48%,+36.52%,+9.11%,+6.88%,+4.78%,+1.04%,+4.09%,19,Good
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,944.80,52.14,18.12,3.39,6.23,18.72,2.59,+282.95%,+37.24%,+187.21%,+16.26%,-2.19%,-10.58%,-20.79%,19,Good
GBBL,Garima Bikas Bank,Development Bank,423.70,28.04,15.11,2.39,9.59,15.82,1.49,+61.10%,+34.12%,+20.82%,+5.78%,+7.12%,+2.12%,+6.98%,19,Good
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microcredit,894.00,36.66,24.38,5.53,6.56,22.67,3.0,+140.64%,+48.50%,+80.48%,+15.46%,+5.87%,-4.49%,-27.18%,19,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,263.40",61.8,20.44,4.51,6.0,22.08,3.16,+72.62%,+36.09%,+29.47%,+9.68%,+2.77%,-3.08%,-0.92%,19,Good
NADEP,Nadep Laghubitta Bittiya Sanstha Ltd.,Microcredit,715.00,29.52,24.22,3.72,6.85,15.35,1.96,+120.25%,+42.45%,+65.19%,+18.06%,-1.24%,-6.20%,-19.33%,19,Good
NTC,Nepal Doorsanchar Company,Telecom,883.00,46.47,19.0,1.6,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,+2.25%,-2.81%,+2.18%,19,Good
SBL,Siddhartha Bank,Commercial Banks,411.00,23.79,17.28,1.82,9.56,10.53,1.0,+74.67%,+36.19%,+31.01%,+4.23%,+7.12%,+5.08%,+17.56%,19,Good
SCB,Standard Chartered Bank,Commercial Banks,659.90,27.64,23.88,3.02,6.99,12.64,1.58,+51.58%,+47.48%,+1.05%,+3.61%,+3.30%,+1.87%,+5.86%,19,Good
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microcredit,753.00,32.52,23.16,4.33,7.89,18.7,2.1,+72.03%,+40.93%,+29.03%,+8.67%,+0.13%,-11.57%,-28.62%,19,Good
CZBIL,Citizen Bank International,Commercial Banks,202.70,13.53,14.98,1.26,9.79,8.43,0.78,+60.63%,+33.16%,+20.47%,+2.90%,+5.89%,+0.94%,+1.16%,18,Good
JBBL,Jyoti Bikas Bank,Development Bank,338.00,22.88,14.77,1.98,9.37,13.38,1.29,+59.81%,+39.14%,+19.86%,+4.61%,+1.53%,-5.53%,-2.43%,18,Good
KMCDB,Kalika Laghubitta Bittiya Sanstha,Microcredit,785.00,27.4,28.65,4.39,6.22,15.33,2.12,+735.13%,+38.74%,+526.34%,+15.34%,+1.83%,-11.84%,-23.98%,18,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,483.50,23.48,20.59,2.26,7.77,10.99,1.25,+51.51%,+32.91%,+13.63%,+4.05%,+3.57%,+0.50%,-13.05%,18,Good
MBL,Machhapuchhre Bank,Commercial Banks,249.00,14.01,17.77,1.6,9.69,10.89,1.02,+64.03%,+47.90%,+9.36%,+3.97%,+4.51%,+2.12%,+7.30%,18,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,135.00",51.59,22.0,4.37,7.0,19.88,2.48,+60.53%,+49.38%,+7.02%,+5.76%,+0.43%,-0.56%,-4.14%,18,Good
SMB,Support Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,827.90",56.82,32.17,8.91,7.56,27.7,3.24,+62.84%,+36.36%,+22.13%,+11.87%,+1.22%,+5.87%,-13.79%,18,Good
SWBBL,Swabalamban Bikas Bank,Microcredit,674.20,24.59,27.42,2.98,5.71,10.85,1.62,+86.95%,+49.61%,+24.63%,+3.69%,+1.82%,-9.92%,-22.10%,18,Good
EDBL,Excel Development Bank,Development Bank,578.90,24.76,23.38,3.25,8.6,13.92,1.45,+98.69%,+42.76%,+49.02%,-3.34%,+4.82%,+1.07%,-6.14%,17,Good
MKHL,Mai Khola Hydropower Limited,Hydro Power,500.10,13.83,36.16,4.37,1.21,12.1,5.48,+370.05%,+51.05%,+252.54%,+10.04%,+7.53%,-4.76%,-39.81%,17,Good
MNBBL,Muktinath Bikas Bank,Development Bank,363.20,18.98,19.14,2.24,9.9,11.73,1.08,+61.08%,+33.77%,+20.81%,+4.34%,+1.39%,-2.41%,-4.67%,17,Good
NMB,NMB Bank,Commercial Banks,242.80,20.81,11.67,1.34,9.44,11.45,1.1,+49.33%,+31.64%,+12.00%,+3.42%,+2.80%,-0.66%,+2.15%,17,Good
PCBL,Prime Commercial Bank,Commercial Banks,241.90,19.63,12.33,1.38,8.12,11.17,1.22,+33.12%,+32.64%,-0.16%,+2.64%,+3.63%,+0.84%,+3.02%,17,Good
SADBL,Shangrila Development Bank,Development Bank,413.50,23.83,17.35,2.44,9.43,14.06,1.35,+83.67%,+40.37%,+37.75%,+6.74%,+3.89%,-0.10%,+0.34%,17,Good
SAHAS,Sahas Urja Limited,Hydro Power,677.00,29.72,22.78,3.75,1.24,16.46,7.36,+14.92%,+21.88%,-13.81%,+2.17%,+5.98%,+2.46%,+24.36%,17,Good
SHPC,Sanima Mai Hydropower,Hydro Power,495.10,7.85,63.07,3.6,0.06,5.71,5.38,+116.60%,+64.72%,+62.45%,+3.08%,+2.27%,-4.15%,-12.45%,17,Good
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,802.00,34.8,23.04,4.68,6.74,20.32,2.63,+48.28%,+38.03%,+11.21%,+7.00%,+3.05%,-1.18%,-6.92%,17,Good
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,122.90",32.63,34.41,6.43,7.78,18.68,2.13,+48.61%,+38.46%,+11.46%,+6.56%,+8.07%,+1.59%,+24.63%,16,Good
API,Api Power,Hydro Power,332.90,15.06,22.11,2.79,1.05,12.6,6.15,+45.87%,+35.43%,+9.40%,+3.63%,+2.98%,-3.55%,+16.95%,16,Good
CHCL,Chilime Hydropower,Hydro Power,478.90,7.59,63.08,3.87,0.04,6.13,5.91,+57.56%,+41.76%,+18.17%,+2.40%,+1.28%,+1.28%,+0.96%,16,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,175.00",32.71,35.92,8.31,0.11,23.13,20.9,+41.70%,+41.24%,+6.28%,+7.30%,+2.10%,+0.69%,+5.31%,16,Good
ICFC,ICFC Finance,Finance,600.00,22.33,26.87,3.17,10.69,11.79,1.01,+156.23%,+35.59%,+92.17%,+7.20%,+2.55%,-2.77%,-7.14%,16,Good
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank,479.40,23.15,20.71,2.66,9.88,12.86,1.18,+51.89%,+32.77%,+13.92%,+4.31%,+2.35%,-0.62%,+2.27%,16,Good
SALICO,Sagarmatha Lumbini Insurance Co. Limited,Non Life Insurance,588.00,6.77,86.82,1.47,1.43,2.9,1.19,+256.71%,+30.32%,+137.81%,+2.73%,+0.32%,+1.68%,-10.45%,16,Good
SHINE,Shine Resunga Development Bank,Development Bank,414.90,23.52,17.64,2.6,9.95,14.75,1.35,+49.83%,+34.36%,+12.37%,+4.20%,+4.46%,+1.02%,+2.16%,16,Good
TPC,Terhathum Power Company Limited,Hydro Power,363.40,11.17,32.54,3.51,0.42,10.78,7.6,+41.93%,+39.99%,+6.44%,+3.17%,+4.62%,-1.84%,-1.89%,16,Good
ADBL,Agriculture Development Bank,Commercial Banks,304.00,16.11,18.87,1.3,9.8,6.88,0.64,+88.72%,+35.79%,+50.37%,+1.52%,+0.76%,-1.90%,-1.95%,15,Good
AKJCL,Ankhu Khola Jalvidhyut Company Ltd.,Hydro Power,360.00,3.18,113.22,3.84,0.37,3.39,2.49,+65.89%,+30.04%,+24.42%,+1.37%,+5.83%,+2.25%,+75.70%,15,Good
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,075.00",57.04,18.85,6.77,8.35,35.93,3.84,+44.78%,+35.13%,+8.59%,+0.58%,+6.45%,-1.45%,+1.07%,15,Good
