Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microcredit,"1,513.00",110.66,13.67,4.23,6.62,30.93,4.06,+451.76%,+42.03%,+313.82%,+32.73%,+19.60%,+6.70%,-1.43%,21,Strong
KBL,Kumari Bank,Commercial Banks,215.00,28.17,7.63,1.26,9.95,16.49,1.51,+76.81%,+31.89%,+32.61%,+7.74%,-0.46%,+1.18%,+20.11%,21,Strong
NBL,Nepal Bank,Commercial Banks,278.00,30.63,9.08,0.97,10.46,10.65,0.93,+61.13%,+35.54%,+20.84%,+5.46%,+4.55%,+3.73%,+20.87%,20,Strong
NTC,Nepal Doorsanchar Company,Telecom,884.00,46.47,19.02,1.6,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,+2.66%,+4.25%,+13.03%,20,Strong
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"11,510.10",544.86,21.12,3.32,0.94,15.7,8.08,+137.96%,+56.39%,+78.47%,+10.59%,-0.35%,-1.62%,+2.57%,19,Good
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,878.90,52.14,16.86,3.15,6.23,18.72,2.59,+282.95%,+37.24%,+187.21%,+16.26%,-5.49%,-14.66%,-17.68%,19,Good
GBBL,Garima Bikas Bank,Development Bank,443.00,28.04,15.8,2.5,9.59,15.82,1.49,+61.10%,+34.12%,+20.82%,+5.78%,+5.73%,+7.81%,+20.17%,19,Good
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,090.50",61.87,17.63,4.5,6.57,25.5,3.37,+82.66%,+34.93%,+36.99%,+12.98%,+1.88%,-2.55%,-1.08%,19,Good
GUFL,Gurkhas Finance Ltd.,Finance,495.00,25.28,19.58,2.96,6.68,15.1,1.97,+69.46%,+34.80%,+27.09%,+6.05%,-13.61%,-13.37%,+6.34%,19,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,255.80",61.8,20.32,4.49,6.0,22.08,3.16,+72.62%,+36.09%,+29.47%,+9.68%,+0.05%,-1.74%,+9.00%,19,Good
NADEP,Nadep Laghubitta Bittiya Sanstha Ltd.,Microcredit,680.00,29.52,23.03,3.54,6.85,15.35,1.96,+120.25%,+42.45%,+65.19%,+18.06%,-5.29%,-9.33%,-9.45%,19,Good
SBL,Siddhartha Bank,Commercial Banks,419.00,23.79,17.61,1.85,9.56,10.53,1.0,+74.67%,+36.19%,+31.01%,+4.23%,+2.20%,+4.75%,+22.69%,19,Good
SWBBL,Swabalamban Bikas Bank,Microcredit,684.60,35.41,19.33,2.83,5.64,14.64,2.21,+92.04%,+42.32%,+44.03%,+6.76%,+2.18%,-7.47%,-4.30%,19,Good
DDBL,Deprosc Laghubitta,Microcredit,837.60,48.15,17.4,3.69,5.38,21.22,3.33,+45.48%,+36.52%,+9.11%,+6.88%,-0.29%,+0.07%,+14.11%,18,Good
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microcredit,870.00,36.66,23.73,5.38,6.56,22.67,3.0,+140.64%,+48.50%,+80.48%,+15.46%,-0.91%,-4.92%,-28.38%,18,Good
KMCDB,Kalika Laghubitta Bittiya Sanstha,Microcredit,807.00,27.4,29.45,4.52,6.22,15.33,2.12,+735.13%,+38.74%,+526.34%,+15.34%,+0.88%,-4.73%,-10.72%,18,Good
MKHL,Mai Khola Hydropower Limited,Hydro Power,505.00,13.83,36.51,4.42,1.21,12.1,5.48,+370.05%,+51.05%,+252.54%,+10.04%,+2.41%,+0.10%,-34.68%,18,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,125.00",58.59,19.2,4.03,7.18,20.98,2.57,+51.41%,+40.89%,+13.56%,+7.63%,+1.90%,-1.14%,-0.54%,18,Good
SHPC,Sanima Mai Hydropower,Hydro Power,517.70,7.85,65.94,3.77,0.06,5.71,5.38,+116.60%,+64.72%,+62.45%,+3.08%,+3.96%,+0.35%,+3.54%,18,Good
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microcredit,733.00,32.52,22.54,4.21,7.89,18.7,2.1,+72.03%,+40.93%,+29.03%,+8.67%,-2.25%,-11.49%,-15.98%,18,Good
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,942.10,35.91,26.23,3.75,5.35,14.3,2.25,+43.30%,+36.79%,+7.47%,+3.77%,+1.30%,+2.96%,+15.95%,17,Good
