Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,124.00",45.16,24.89,5.23,7.08,21.03,2.6,+107.35%,+50.08%,+38.23%,+8.83%,-0.09%,-5.39%,-4.92%,19,Good
GUFL,Gurkhas Finance Ltd.,Finance,555.00,19.89,27.91,3.52,6.85,12.6,1.6,+109.99%,+64.08%,+39.99%,+6.21%,+6.12%,-6.25%,+4.04%,19,Good
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,912.50,33.41,27.31,3.77,5.53,13.81,2.11,+57.35%,+51.24%,+4.90%,+3.54%,+0.05%,-2.41%,+16.45%,18,Good
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microcredit,895.00,31.68,28.25,5.03,8.47,17.8,1.88,+81.16%,+54.30%,+20.77%,+6.37%,+2.46%,-5.79%,+3.07%,18,Good
NBL,Nepal Bank,Commercial Banks,265.30,25.34,10.47,0.97,10.25,9.29,0.83,+114.05%,+56.08%,+42.70%,+3.95%,-0.26%,-3.42%,+5.09%,18,Good
NTC,Nepal Doorsanchar Company,Telecom,849.00,46.47,18.27,1.54,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,-4.24%,-4.50%,+4.22%,18,Good
SCB,Standard Chartered Bank,Commercial Banks,649.10,27.64,23.49,2.97,6.99,12.64,1.58,+51.58%,+47.48%,+1.05%,+3.61%,+1.03%,-2.74%,+8.93%,18,Good
SHINE,Shine Resunga Development Bank,Development Bank,409.90,20.93,19.58,2.68,10.0,13.68,1.24,+95.01%,+51.97%,+30.01%,+4.40%,+0.39%,-5.33%,+7.58%,18,Good
GBLBS,Grameen Bikas Laghubitta,Microcredit,771.50,40.0,19.29,2.61,4.49,13.55,2.47,+37.14%,+50.62%,-8.57%,+6.15%,+0.33%,-3.19%,-1.62%,17,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,151.00",30.78,37.4,8.73,0.2,23.35,19.47,+89.87%,+75.42%,+26.58%,+9.04%,-0.60%,-3.68%,+16.57%,17,Good
KBL,Kumari Bank,Commercial Banks,212.00,21.24,9.98,1.34,10.41,13.4,1.17,+53.60%,+42.19%,+2.40%,+4.87%,-2.26%,-8.62%,+4.10%,17,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,486.00,20.67,23.52,2.37,7.88,10.06,1.13,+96.82%,+46.49%,+31.21%,+4.27%,-0.21%,-5.98%,+12.23%,17,Good
MSLB,Mahuli Samudayik Laghubitta Sanstha Ltd.,Microcredit,"1,234.00",42.26,29.2,5.87,6.93,20.09,2.53,+75.39%,+56.19%,+16.93%,+6.86%,-0.47%,-8.44%,+9.02%,17,Good
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,525.00",65.09,23.43,5.3,4.01,22.64,4.52,+52.57%,+46.97%,+1.71%,+6.50%,-0.20%,-4.69%,-1.11%,17,Good
NICL,Nepal Insurance,Non Life Insurance,538.00,5.55,97.0,2.64,0.71,3.21,1.88,"+2,038.10%",+52.82%,"+1,325.47%",+1.72%,+11.16%,+2.48%,-11.00%,17,Good
NMBMF,NMB Microfinance,Microcredit,642.00,16.08,39.92,4.51,7.56,11.29,1.32,+149.38%,+54.51%,+66.25%,+1.30%,+2.18%,-7.77%,-6.16%,17,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,120.09",51.59,21.71,4.32,7.0,19.88,2.48,+60.53%,+49.38%,+7.02%,+5.76%,-2.26%,-5.87%,+4.61%,17,Good
