Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
SAHAS,Sahas Urja Limited,Hydro Power,662.00,34.48,19.2,3.75,1.29,19.51,8.51,+30.71%,+36.89%,-12.86%,+3.53%,+2.81%,+14.67%,+49.18%,17,Good
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,949.90,34.02,27.92,5.3,8.36,18.98,2.03,+56.70%,+50.45%,+4.47%,+5.43%,-4.60%,-1.96%,-7.94%,16,Good
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,020.00",82.49,72.98,12.42,4.49,17.02,3.1,+58.84%,+51.67%,+5.89%,+13.06%,-6.19%,+11.78%,+31.58%,16,Good
CORBL,Corporate Development Bank,Development Bank,"2,011.00",12.26,164.07,14.44,3.34,8.8,2.03,+272.91%,+64.69%,+148.61%,+2.56%,+9.82%,+20.61%,-12.17%,16,Good
NMBMF,NMB Microfinance,Microcredit,624.00,16.08,38.8,4.38,7.56,11.29,1.32,+149.38%,+54.51%,+66.25%,+1.30%,-3.79%,-3.02%,-7.99%,16,Good
SHIVM,Shivam Cements Ltd,Manufacturing And Processing,674.00,14.76,45.66,3.64,0.26,7.97,6.31,+73.41%,+58.46%,+15.61%,+2.73%,-1.60%,+10.62%,+32.32%,16,Good
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,817.00,31.3,26.1,5.11,6.96,19.56,2.46,+64.89%,+52.33%,-3.78%,-7.84%,-0.87%,+0.12%,+11.15%,16,Good
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microcredit,845.00,25.2,33.53,5.28,8.78,15.75,1.61,+53.99%,+56.21%,+2.66%,+1.20%,-1.74%,-2.87%,-7.74%,16,Good
CZBIL,Citizen Bank International,Commercial Banks,204.10,11.23,18.17,1.31,9.28,7.2,0.7,+264.06%,+45.95%,+142.71%,+4.14%,-2.09%,+7.75%,+8.47%,15,Good
GLBSL,Gurans Laghubitta Bittiya Sanstha,Microcredit,"1,790.00",40.62,44.06,10.6,9.58,24.05,2.27,+51.49%,+50.73%,+0.99%,+6.01%,+0.28%,-6.43%,-30.73%,15,Good
HEI,Himalayan Everest Insurance Limited,Non Life Insurance,532.00,5.9,90.22,1.68,1.3,2.87,1.25,+601.80%,+41.15%,+367.87%,-2.09%,+1.15%,+5.38%,-6.42%,15,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,305.00",47.73,27.34,5.11,6.32,18.7,2.56,+61.15%,+56.23%,-5.76%,-7.91%,-0.15%,-0.84%,+15.30%,15,Good
NICL,Nepal Insurance,Non Life Insurance,486.50,5.55,87.71,2.39,0.71,3.21,1.88,"+2,038.10%",+52.82%,"+1,325.47%",+1.72%,-1.62%,-0.60%,-16.94%,15,Good
NIMB,Nepal Investment Bank,Commercial Banks,198.00,12.29,16.11,0.99,8.04,6.15,0.68,+95.08%,+47.01%,+30.06%,+2.54%,-4.13%,+6.32%,-1.66%,15,Good
NMB,NMB Bank,Commercial Banks,244.20,16.08,15.19,1.47,9.17,9.71,0.95,+63.03%,+50.04%,-5.94%,-2.23%,-1.69%,+4.36%,+10.61%,15,Good
PRIN,Prabhu Insurance,Non Life Insurance,648.00,16.58,39.08,2.03,1.15,7.91,3.67,+72.75%,+52.66%,+15.17%,+3.17%,-6.63%,-2.52%,-4.32%,15,Good
SADBL,Shangrila Development Bank,Development Bank,413.90,17.3,23.92,2.61,9.82,10.89,1.01,+60.12%,+45.56%,+6.75%,+3.62%,-2.59%,-0.96%,+8.31%,15,Good
SANIMA,Sanima Bank,Commercial Banks,365.50,20.11,18.17,2.16,9.39,11.88,1.14,+68.95%,+46.63%,-1.82%,-1.77%,+3.43%,+9.07%,+20.55%,15,Good
SARBTM,Sarbottam Cement Limited,Manufacturing And Processing,843.50,23.12,36.49,4.3,0.62,11.8,7.3,+68.26%,+71.23%,+12.17%,+3.72%,-1.57%,-2.19%,+4.91%,15,Good
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,Microcredit,658.00,22.82,28.83,4.31,6.71,14.93,1.94,+61.66%,+49.97%,+7.78%,+4.44%,-1.63%,-1.48%,-5.54%,15,Good
ADBL,Agriculture Development Bank,Commercial Banks,310.20,10.71,28.95,1.35,9.41,4.65,0.45,+97.05%,+47.67%,+40.75%,+2.73%,-1.68%,+4.38%,+16.84%,14,Good
API,Api Power,Hydro Power,349.00,13.76,25.36,3.03,1.19,11.93,5.46,+54.51%,+35.98%,-1.90%,-1.92%,-0.92%,+13.86%,+18.67%,14,Good
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,129.00",52.53,21.49,7.15,8.3,33.28,3.58,+27.32%,+43.96%,-15.12%,+5.66%,-3.02%,+15.69%,+13.23%,14,Good
BGWT,Bhagawati Hydropower Development Company Limited,Hydro Power,689.90,11.16,61.82,6.12,0.29,9.91,7.69,+81.61%,+58.44%,+21.07%,+3.45%,-13.21%,-14.46%,-21.69%,14,Good
BNT,Bottlers Nepal (Terai),Manufacturing And Processing,"12,048.90",305.29,39.47,3.84,1.51,9.73,3.88,+104.47%,+64.98%,+36.32%,+3.85%,-0.89%,-0.04%,-6.45%,14,Good
EDBL,Excel Development Bank,Development Bank,579.90,16.61,34.9,3.15,7.79,9.03,1.03,+75.88%,+49.69%,+17.25%,+3.40%,-1.61%,-1.19%,-3.86%,14,Good
FMDBL,First Micro Finance Development Bank,Microcredit,796.00,11.27,70.61,6.05,2.27,8.57,2.62,+61.49%,+54.50%,+7.66%,+2.51%,-2.48%,+2.03%,+10.15%,14,Good
KDL,Kalinchowk Darshan Limited,Hotels,822.00,10.52,78.16,7.62,0.22,9.75,8.02,+314.31%,+184.62%,+163.06%,+0.58%,-5.74%,-8.77%,-24.60%,14,Good
KPCL,Kalika Power Company,Hydro Power,487.00,12.77,38.13,3.94,0.11,10.34,9.31,+19.20%,+30.00%,-14.97%,+8.68%,-3.33%,-7.66%,-1.20%,14,Good
