Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
KMCDB,Kalika Laghubitta Bittiya Sanstha,Microcredit,910.00,26.09,34.88,5.53,6.28,15.84,2.18,+187.61%,+96.09%,+30.73%,-14.00%,-3.81%,-5.70%,-6.39%,17,Good
KSBBL,Kamana Sewa Bikas Bank Limited,Development Bank,485.00,20.43,23.74,3.07,10.8,12.92,1.1,+99.69%,+91.44%,-0.16%,+3.78%,+0.56%,+2.75%,+20.35%,17,Good
MAKAR,Makar Jitumaya Suri Hydropower Limited,Hydro Power,520.00,21.06,24.7,4.53,2.18,18.34,5.76,+184.88%,+97.12%,+42.44%,+6.33%,-4.57%,-2.80%,-27.90%,17,Good
MLBL,Mahalaxmi Bikas Bank Limited,Development Bank,380.00,14.24,26.68,2.3,7.89,8.61,0.97,+213.74%,+99.44%,+56.87%,+0.03%,-1.55%,+0.53%,+1.26%,17,Good
MNBBL,Muktinath Bikas Bank,Development Bank,378.00,16.8,22.5,2.5,9.93,11.1,1.02,+198.98%,+91.14%,+31.68%,-10.98%,-2.05%,+3.00%,+18.68%,17,Good
NABIL,Nabil Bank,Commercial Banks,530.00,29.69,17.85,2.47,9.14,13.84,1.37,+170.90%,+95.90%,+14.32%,-10.90%,+0.80%,+7.99%,+9.85%,17,Good
NMB,NMB Bank,Commercial Banks,248.50,17.1,14.53,1.47,10.0,10.1,0.92,+79.98%,+90.43%,-14.29%,-5.54%,-2.17%,+4.06%,+3.05%,17,Good
PCBL,Prime Commercial Bank,Commercial Banks,245.00,19.5,12.56,1.48,8.2,11.76,1.28,+62.38%,+90.26%,-24.83%,-7.54%,-2.66%,+2.08%,+1.06%,17,Good
PMHPL,Panchakanya Mai Hydropower,Hydro Power,358.50,15.26,23.49,4.22,1.73,17.96,6.57,+128.87%,+93.63%,+14.43%,+5.39%,-7.36%,+12.03%,+15.65%,17,Good
RURU,Ru Ru Jalbidhyut Pariyojana Limited,Hydro Power,680.60,18.59,36.61,4.68,0.21,12.78,10.59,+60.10%,+70.93%,-19.95%,+1.50%,+0.09%,+2.35%,+1.85%,17,Good
SCB,Standard Chartered Bank,Commercial Banks,658.90,27.35,24.09,3.12,6.95,12.96,1.63,+98.41%,+88.48%,-0.80%,-5.27%,-0.62%,+4.08%,+6.58%,17,Good
SHEL,Singati Hydro Energy Limited,Hydro Power,325.20,13.58,23.95,2.82,0.94,11.78,6.06,+75.47%,+75.66%,-12.27%,+2.60%,-3.79%,+14.95%,+31.16%,17,Good
SRLI,Sanima Reliance Life Insurance Limited,Life Insurance,405.50,11.01,36.81,3.85,4.26,10.17,1.93,+84.61%,+98.27%,-7.70%,-2.09%,+0.17%,+1.25%,-0.68%,17,Good
TPC,Terhathum Power Company Limited,Hydro Power,386.00,16.54,23.34,3.83,0.49,16.4,11.0,+17.60%,+38.39%,-41.20%,+1.24%,-7.99%,+4.32%,+20.86%,17,Good
UNL,Unilever Nepal,Manufacturing And Processing,"47,300.00",1587.19,29.8,10.22,0.97,34.3,17.45,+143.71%,+89.51%,+21.86%,-22.89%,+0.02%,+0.64%,+3.77%,17,Good
AKPL,Arun Kabeli Power Ltd.,Hydro Power,282.00,7.93,35.56,2.72,0.83,7.65,4.18,+166.33%,+97.39%,+33.17%,+2.45%,-5.84%,+14.12%,+18.57%,16,Good
ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,Microcredit,"1,156.00",31.29,36.95,7.31,8.25,19.79,2.14,+462.55%,+107.63%,+156.87%,-10.14%,+1.40%,-1.03%,+50.51%,16,Good
GBBL,Garima Bikas Bank,Development Bank,408.00,21.1,19.34,2.56,9.92,13.22,1.21,+153.47%,+87.15%,+19.56%,-4.08%,-2.86%,+1.62%,+6.70%,16,Good
GBIME,Global Ime Bank,Commercial Banks,237.00,17.06,13.89,1.35,10.2,9.73,0.87,+74.97%,+94.62%,-12.51%,-2.34%,-1.66%,+3.86%,+9.91%,16,Good
GFCL,Goodwill Finance,Finance,635.00,23.61,26.89,2.47,5.66,9.2,1.38,+198.81%,+153.54%,+49.40%,+28.16%,-5.37%,-10.56%,-6.55%,16,Good
GVL,Green Ventures Limited,Hydro Power,507.00,27.16,18.67,4.06,1.51,21.73,8.65,+54.10%,+75.78%,-22.95%,+3.44%,-0.59%,+0.60%,+8.14%,16,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,170.00",24.31,48.12,9.68,0.16,20.11,17.35,+396.76%,+193.19%,+106.98%,-12.66%,-1.02%,+2.72%,+17.27%,16,Good
HHL,Himalayan Hydropower Limited,Hydro Power,404.00,10.78,37.46,4.85,1.48,12.93,5.22,+62.51%,+75.60%,-18.75%,+2.55%,+5.46%,+21.69%,-15.80%,16,Good
HPPL,Himalayan Power Partner Ltd.,Hydro Power,410.00,20.1,20.4,3.25,3.09,15.95,3.9,+67.59%,+84.33%,-16.20%,+3.04%,+10.22%,+15.17%,-14.33%,16,Good
HURJA,Himalaya Urja Bikas Company Limited,Hydro Power,279.50,10.56,26.47,2.92,0.9,11.02,5.8,+57.85%,+56.53%,-21.07%,+2.02%,-7.66%,+23.78%,+12.53%,16,Good
MHCL,Molung Hydropower Company Limited,Hydro Power,364.00,16.81,21.66,4.11,0.64,19.0,11.55,+65.15%,+68.70%,-17.43%,+3.89%,-4.96%,-4.16%,-32.25%,16,Good
MLBBL,Mithila Laghubitta Bikas Bank,Microcredit,"1,300.00",47.22,27.53,5.81,5.91,21.11,3.05,+57.18%,+77.30%,-21.41%,+6.06%,-2.78%,-3.56%,-3.64%,16,Good
NBL,Nepal Bank,Commercial Banks,279.70,17.76,15.75,1.07,9.99,6.77,0.62,+121.81%,+85.87%,+10.90%,+0.81%,+5.99%,+14.63%,+10.65%,16,Good
