Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
KBL,Kumari Bank,Commercial Banks,228.90,20.74,11.03,1.51,10.43,13.72,1.2,+157.45%,+106.86%,+28.73%,+4.10%,+3.62%,+24.07%,+8.47%,21,Strong
NTC,Nepal Doorsanchar Company,Telecom,880.00,46.27,19.02,1.63,0.39,8.58,6.17,+214.26%,+103.01%,+57.13%,+6.67%,+0.09%,+3.29%,+0.71%,21,Strong
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,135.00",61.89,18.34,7.6,8.73,41.43,4.26,+853.71%,+145.05%,+376.86%,+18.42%,+4.33%,+18.85%,+5.33%,19,Good
DDBL,Deprosc Laghubitta,Microcredit,841.00,47.41,17.74,3.8,7.32,21.44,2.58,+119.03%,+95.97%,+9.51%,-0.04%,-3.34%,+1.56%,+16.22%,19,Good
MBL,Machhapuchhre Bank,Commercial Banks,252.00,16.73,15.06,1.56,11.19,10.35,0.85,+141.93%,+96.61%,+20.97%,+4.54%,-0.20%,+10.04%,+15.72%,19,Good
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,554.00",63.99,24.28,5.76,4.2,23.71,4.56,+185.68%,+100.69%,+42.84%,-0.92%,-1.33%,+1.25%,-15.32%,19,Good
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,977.00,32.57,30.0,5.75,9.43,19.16,1.84,+628.49%,+97.82%,+264.24%,+7.97%,-1.31%,+1.98%,-9.45%,18,Good
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,404.90",77.9,82.22,14.94,4.66,18.17,3.21,+166.17%,+99.17%,+33.08%,+5.78%,+12.59%,+19.97%,+36.72%,18,Good
API,Api Power,Hydro Power,349.00,14.03,24.88,2.97,1.03,11.93,5.89,+62.21%,+78.15%,-18.89%,+2.48%,+2.35%,+20.34%,+26.67%,18,Good
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,163.00",31.98,36.37,4.96,7.18,13.63,1.67,+234.60%,+103.14%,+67.30%,-13.65%,+6.50%,+7.39%,+0.52%,18,Good
MANDU,Mandu Hydropower Limited,Hydro Power,839.70,26.85,31.27,5.49,1.6,17.57,6.76,+264.30%,+138.21%,+82.15%,+6.81%,+2.20%,+2.67%,-8.11%,18,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,153.70",48.21,23.93,4.7,7.25,19.65,2.38,+154.15%,+101.55%,+11.22%,-4.11%,-2.64%,+5.65%,+7.56%,18,Good
SAHAS,Sahas Urja Limited,Hydro Power,625.00,39.57,15.8,3.66,1.41,23.18,9.6,+82.83%,+84.39%,-24.45%,-13.29%,+1.46%,+13.43%,+47.23%,18,Good
SANIMA,Sanima Bank,Commercial Banks,351.70,20.48,17.17,2.04,10.55,11.88,1.03,+205.79%,+95.43%,+52.89%,-0.19%,+0.63%,+4.36%,+17.54%,18,Good
SHL,Soaltee Hotel,Hotels,515.00,6.8,75.71,17.91,0.3,23.65,18.22,+181.24%,+132.46%,+40.62%,+1.60%,+1.42%,+3.41%,+16.68%,18,Good
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,829.00,32.53,25.49,4.77,7.04,18.73,2.33,+151.73%,+98.57%,+25.86%,+4.63%,-1.16%,-1.25%,+8.90%,18,Good
BHCL,Bikash Hydropower Company Limited,Hydro Power,556.00,11.05,50.33,5.18,0.31,10.29,7.88,+182.83%,+131.62%,+41.42%,+3.44%,-5.12%,+1.13%,+73.05%,17,Good
BHDC,Bindhyabasini Hydropower Development Company Limited,Hydro Power,479.00,19.83,24.15,3.89,1.12,16.12,7.59,+28.52%,+66.81%,-35.74%,+5.24%,-4.41%,+2.22%,-9.99%,17,Good
BHL,Balephi Hydropower Limited,Hydro Power,230.00,12.48,18.43,2.84,1.94,15.44,5.26,+83.29%,+83.19%,-8.36%,+3.63%,-9.45%,+27.78%,-6.24%,17,Good
GBLBS,Grameen Bikas Laghubitta,Microcredit,769.90,43.75,17.6,2.77,4.51,15.73,2.86,+80.21%,+99.76%,-11.94%,-0.85%,-1.92%,-0.93%,-7.38%,17,Good
JBBL,Jyoti Bikas Bank,Development Bank,385.00,14.16,27.18,2.48,9.85,9.13,0.84,+342.56%,+92.42%,+121.28%,+4.09%,+7.21%,+8.45%,+11.57%,17,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,295.00",50.65,25.57,4.67,6.36,18.28,2.48,+166.72%,+89.61%,+33.36%,-5.67%,-5.20%,-3.00%,+10.92%,17,Good
