Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
GUFL,Gurkhas Finance Ltd.,Finance,557.00,19.89,28.36,3.57,6.85,12.6,1.6,+109.99%,+64.08%,+39.99%,+6.21%,+2.66%,+8.05%,-6.92%,20,Strong
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,938.00,33.41,27.89,3.85,5.53,13.81,2.11,+57.35%,+51.24%,+4.90%,+3.54%,+2.07%,+3.10%,-5.50%,19,Good
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,120.00",45.16,24.58,5.17,7.08,21.03,2.6,+107.35%,+50.08%,+38.23%,+8.83%,-0.72%,-0.63%,-15.73%,19,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,166.00",30.78,38.31,8.95,0.2,23.35,19.47,+89.87%,+75.42%,+26.58%,+9.04%,+2.92%,+2.61%,+7.03%,19,Good
KBL,Kumari Bank,Commercial Banks,228.20,21.24,10.5,1.41,10.41,13.4,1.17,+53.60%,+42.19%,+2.40%,+4.87%,+6.60%,+0.36%,-2.49%,19,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,510.00,20.67,24.29,2.44,7.88,10.06,1.13,+96.82%,+46.49%,+31.21%,+4.27%,+3.10%,+2.45%,-8.82%,19,Good
NBL,Nepal Bank,Commercial Banks,272.00,25.34,10.61,0.99,10.25,9.29,0.83,+114.05%,+56.08%,+42.70%,+3.95%,+1.51%,-0.37%,-12.66%,19,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,131.00",51.59,21.9,4.35,7.0,19.88,2.48,+60.53%,+49.38%,+7.02%,+5.76%,+0.36%,+2.71%,-12.30%,19,Good
NTC,Nepal Doorsanchar Company,Telecom,864.00,46.47,18.49,1.56,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,+1.18%,-1.49%,-3.62%,19,Good
SCB,Standard Chartered Bank,Commercial Banks,651.00,27.64,23.71,3.0,6.99,12.64,1.58,+51.58%,+47.48%,+1.05%,+3.61%,+1.50%,+1.42%,+0.57%,19,Good
