Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
KBL,Kumari Bank,Commercial Banks,222.00,20.74,10.7,1.47,10.43,13.72,1.2,+157.45%,+106.86%,+28.73%,+4.10%,+11.11%,+24.09%,+4.88%,21,Strong
MBL,Machhapuchhre Bank,Commercial Banks,248.00,16.73,14.82,1.53,11.19,10.35,0.85,+141.93%,+96.61%,+20.97%,+4.54%,+5.00%,+11.71%,+8.85%,21,Strong
NESDO,NESDO Sambridha Laghubitta Bittiye Sanstha Limited,Microcredit,"1,585.00",63.99,24.77,5.87,4.2,23.71,4.56,+185.68%,+100.69%,+42.84%,-0.92%,+2.59%,+6.03%,-14.21%,20,Strong
AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,Microcredit,"1,189.00",61.89,19.21,7.96,8.73,41.43,4.26,+853.71%,+145.05%,+376.86%,+18.42%,+21.35%,+28.01%,+11.44%,19,Good
DDBL,Deprosc Laghubitta,Microcredit,849.00,47.41,17.91,3.84,7.32,21.44,2.58,+119.03%,+95.97%,+9.51%,-0.04%,-1.16%,+6.47%,+8.99%,19,Good
NMFBS,National Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,160.00",48.21,24.06,4.73,7.25,19.65,2.38,+154.15%,+101.55%,+11.22%,-4.11%,+1.31%,+1.23%,-4.06%,19,Good
NTC,Nepal Doorsanchar Company,Telecom,866.00,46.27,18.72,1.61,0.39,8.58,6.17,+214.26%,+103.01%,+57.13%,+6.67%,-0.69%,-0.23%,-4.03%,19,Good
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Microcredit,"1,021.20",32.57,31.36,6.01,9.43,19.16,1.84,+628.49%,+97.82%,+264.24%,+7.97%,+5.39%,+11.00%,-6.94%,18,Good
ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,Microcredit,"6,549.80",77.9,84.08,15.28,4.66,18.17,3.21,+166.17%,+99.17%,+33.08%,+5.78%,+2.34%,+7.69%,+28.71%,18,Good
BHL,Balephi Hydropower Limited,Hydro Power,219.80,12.48,17.61,2.72,1.94,15.44,5.26,+83.29%,+83.19%,-8.36%,+3.63%,+7.27%,+24.18%,-31.10%,18,Good
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Microcredit,"1,125.00",31.98,35.18,4.79,7.18,13.63,1.67,+234.60%,+103.14%,+67.30%,-13.65%,+5.53%,+4.17%,-5.23%,18,Good
JBLB,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,Microcredit,"1,313.00",50.65,25.92,4.74,6.36,18.28,2.48,+166.72%,+89.61%,+33.36%,-5.67%,-1.94%,+1.18%,-1.76%,18,Good
MANDU,Mandu Hydropower Limited,Hydro Power,825.00,26.85,30.72,5.4,1.6,17.57,6.76,+264.30%,+138.21%,+82.15%,+6.81%,+1.10%,+3.97%,-8.05%,18,Good
MLBL,Mahalaxmi Bikas Bank Limited,Development Bank,378.00,14.24,26.54,2.28,7.89,8.61,0.97,+213.74%,+99.44%,+56.87%,+0.03%,+0.53%,+5.59%,-4.63%,18,Good
MNBBL,Muktinath Bikas Bank,Development Bank,374.90,16.8,22.32,2.48,9.93,11.1,1.02,+198.98%,+91.14%,+31.68%,-10.98%,+1.05%,+8.35%,+3.06%,18,Good
NMB,NMB Bank,Commercial Banks,249.00,17.1,14.56,1.47,10.0,10.1,0.92,+79.98%,+90.43%,-14.29%,-5.54%,+2.94%,+5.91%,-2.31%,18,Good
PCBL,Prime Commercial Bank,Commercial Banks,244.00,19.5,12.51,1.47,8.2,11.76,1.28,+62.38%,+90.26%,-24.83%,-7.54%,+0.74%,+1.95%,-3.64%,18,Good
PPCL,Panchthar Power Company Ltd.,Hydro Power,392.50,18.8,20.87,3.96,2.05,18.95,6.21,+75.59%,+64.89%,-12.21%,+3.31%,+1.29%,+11.98%,+23.64%,18,Good
SAHAS,Sahas Urja Limited,Hydro Power,625.00,39.57,15.8,3.66,1.41,23.18,9.6,+82.83%,+84.39%,-24.45%,-13.29%,+6.11%,+14.70%,+23.96%,18,Good
SANIMA,Sanima Bank,Commercial Banks,346.00,20.48,16.89,2.01,10.55,11.88,1.03,+205.79%,+95.43%,+52.89%,-0.19%,+1.47%,+8.81%,+15.41%,18,Good
SCB,Standard Chartered Bank,Commercial Banks,653.50,27.35,23.89,3.1,6.95,12.96,1.63,+98.41%,+88.48%,-0.80%,-5.27%,+0.54%,+3.40%,+3.12%,18,Good
SHEL,Singati Hydro Energy Limited,Hydro Power,315.89,13.58,23.26,2.74,0.94,11.78,6.06,+75.47%,+75.66%,-12.27%,+2.60%,+3.43%,+16.74%,+24.28%,18,Good
SLBBL,Swarojgar Laghu Bitta Bikas Bank,Microcredit,823.00,32.53,25.3,4.74,7.04,18.73,2.33,+151.73%,+98.57%,+25.86%,+4.63%,-2.01%,-2.26%,-3.89%,18,Good
