Ticker,Stock Name,Sector,Today's Price,EPS (Trailing),P/E Ratio,P/B Ratio,DE,ROE,ROA,Net Profit % Change,Total Revenue % Change,Annualized EPS % Change,Book Value per Share % Change,Monthly Change (%),3-Month Change (%),Yearly Change (%),Score,Tier
GUFL,Gurkhas Finance Ltd.,Finance,559.00,19.89,28.11,3.54,6.85,12.6,1.6,+109.99%,+64.08%,+39.99%,+6.21%,+1.64%,+4.12%,-5.84%,20,Strong
CBBL,Chhimek Laghubitta Bikas Bank,Microcredit,929.00,33.41,27.8,3.84,5.53,13.81,2.11,+57.35%,+51.24%,+4.90%,+3.54%,+1.70%,+0.98%,+0.71%,19,Good
GILB,Global IME Laghubitta Bittiya Sanstha,Microcredit,"1,100.00",45.16,24.36,5.12,7.08,21.03,2.6,+107.35%,+50.08%,+38.23%,+8.83%,-0.99%,-3.25%,-15.47%,19,Good
NTC,Nepal Doorsanchar Company,Telecom,862.00,46.47,18.55,1.56,0.36,8.44,6.18,+50.63%,+50.07%,+0.42%,+2.11%,+1.59%,-2.05%,-0.04%,19,Good
HDL,Himalayan Distillery,Manufacturing And Processing,"1,163.00",30.78,37.79,8.82,0.2,23.35,19.47,+89.87%,+75.42%,+26.58%,+9.04%,+0.78%,-0.60%,+10.28%,18,Good
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Microcredit,883.00,31.68,27.87,4.96,8.47,17.8,1.88,+81.16%,+54.30%,+20.77%,+6.37%,+0.79%,-3.50%,-8.46%,18,Good
KBL,Kumari Bank,Commercial Banks,220.00,21.24,10.36,1.39,10.41,13.4,1.17,+53.60%,+42.19%,+2.40%,+4.87%,+4.86%,-3.89%,-0.80%,18,Good
LBBL,Lumbini Bikas Bank Ltd.,Development Bank,495.00,20.67,23.95,2.41,7.88,10.06,1.13,+96.82%,+46.49%,+31.21%,+4.27%,+1.85%,-1.53%,+0.47%,18,Good
MSLB,Mahuli Samudayik Laghubitta Sanstha Ltd.,Microcredit,"1,239.80",42.26,29.34,5.89,6.93,20.09,2.53,+75.39%,+56.19%,+16.93%,+6.86%,+1.35%,-5.36%,-1.78%,18,Good
NBL,Nepal Bank,Commercial Banks,266.60,25.34,10.52,0.98,10.25,9.29,0.83,+114.05%,+56.08%,+42.70%,+3.95%,-0.15%,-4.68%,-11.04%,18,Good
PCBL,Prime Commercial Bank,Commercial Banks,242.00,19.66,12.31,1.41,8.07,11.48,1.27,+51.19%,+45.29%,+0.79%,+3.31%,+2.54%,-1.22%,-8.25%,18,Good
SHINE,Shine Resunga Development Bank,Development Bank,413.90,20.93,19.77,2.7,10.0,13.68,1.24,+95.01%,+51.97%,+30.01%,+4.40%,+2.20%,-0.27%,-0.79%,18,Good
DDBL,Deprosc Laghubitta,Microcredit,852.00,44.13,19.31,4.01,5.63,20.79,3.13,+53.56%,+48.67%,-6.93%,-4.01%,+2.04%,+1.31%,+4.26%,17,Good
EBL,Everest Bank,Commercial Banks,718.00,32.35,22.19,2.94,10.3,13.24,1.17,+57.26%,+47.54%,+4.84%,+3.93%,+3.01%,+2.43%,+6.15%,17,Good
GBBL,Garima Bikas Bank,Development Bank,411.00,23.21,17.71,2.45,9.73,13.85,1.29,+65.04%,+45.62%,+10.03%,+5.00%,+0.24%,+0.74%,-0.55%,17,Good
JBBL,Jyoti Bikas Bank,Development Bank,349.70,19.09,18.32,2.14,9.63,11.68,1.1,+102.22%,+49.45%,+34.81%,+5.38%,+0.03%,-9.17%,-2.84%,17,Good
